OneBody1_E-0.25_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [18.00,0.00,0.00,0.71] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,18.000000,0.000000|0.000786,17.999994,0.014142,0.000006,0.000031,0.020000|0.000786,17.999994,0.014142,0.000006,0.000031,0.020000
  2|0.020010,17.996396,0.360159|0.020796,17.996380,0.374301,0.003620,0.020112,0.020000|0.020796,17.996380,0.374301,0.003620,0.020112,0.020000
  3|0.040020,17.985587,0.720173|0.040805,17.985560,0.734315,0.014440,0.080225,0.020000|0.040805,17.985560,0.734315,0.014440,0.080225,0.020000
  4|0.060030,17.967577,1.079899|0.060815,17.967538,1.094041,0.032462,0.180344,0.020000|0.060815,17.967538,1.094040,0.032462,0.180344,0.020000
  5|0.080041,17.942372,1.439193|0.080824,17.942322,1.453334,0.057678,0.320431,0.020000|0.080824,17.942322,1.453333,0.057678,0.320431,0.020000
  6|0.100051,17.909984,1.797910|0.100833,17.909923,1.812051,0.090077,0.500429,0.020000|0.100833,17.909923,1.812049,0.090077,0.500429,0.020000
  7|0.120061,17.870424,2.155907|0.120841,17.870352,2.170047,0.129648,0.720266,0.020000|0.120841,17.870352,2.170046,0.129648,0.720266,0.020000
  8|0.140071,17.823710,2.513042|0.140849,17.823626,2.527181,0.176374,0.979853,0.020000|0.140849,17.823626,2.527178,0.176374,0.979853,0.020000
  9|0.160081,17.769858,2.869170|0.160857,17.769764,2.883308,0.230236,1.279087,0.020000|0.160857,17.769764,2.883305,0.230236,1.279087,0.020000
 10|0.180091,17.708892,3.224149|0.180865,17.708787,3.238287,0.291213,1.617849,0.020000|0.180865,17.708787,3.238282,0.291213,1.617849,0.020000
 11|0.200101,17.640836,3.577838|0.200872,17.640720,3.591974,0.359280,1.996002,0.020000|0.200872,17.640720,3.591969,0.359280,1.996002,0.020000
 12|0.220112,17.565716,3.930093|0.220879,17.565589,3.944228,0.434411,2.413395,0.020000|0.220879,17.565589,3.944222,0.434411,2.413395,0.020000
 13|0.240122,17.483563,4.280776|0.240886,17.483425,4.294909,0.516575,2.869861,0.020000|0.240886,17.483425,4.294902,0.516575,2.869861,0.020000
 14|0.260132,17.394409,4.629744|0.260893,17.394261,4.643876,0.605739,3.365218,0.020000|0.260892,17.394261,4.643867,0.605739,3.365217,0.020000
 15|0.280142,17.298291,4.976858|0.280899,17.298132,4.990989,0.701868,3.899266,0.020000|0.280898,17.298132,4.990979,0.701868,3.899266,0.020000
 16|0.300152,17.195247,5.321980|0.300905,17.195077,5.336109,0.804923,4.471792,0.020000|0.300904,17.195077,5.336098,0.804923,4.471792,0.020000
 17|0.320162,17.085318,5.664971|0.320910,17.085138,5.679099,0.914862,5.082567,0.020000|0.320910,17.085138,5.679085,0.914862,5.082567,0.020000
 18|0.340172,16.968549,6.005694|0.340916,16.968358,6.019820,1.031642,5.731346,0.020000|0.340915,16.968358,6.019804,1.031642,5.731346,0.020000
 19|0.360183,16.844985,6.344012|0.360921,16.844783,6.358136,1.155217,6.417870,0.020000|0.360920,16.844783,6.358119,1.155217,6.417869,0.020000
 20|0.380193,16.714676,6.679790|0.380925,16.714465,6.693912,1.285535,7.141863,0.020000|0.380924,16.714465,6.693893,1.285535,7.141863,0.020000
 21|0.400203,16.577675,7.012894|0.400930,16.577454,7.027013,1.422546,7.903036,0.020000|0.400929,16.577454,7.026992,1.422546,7.903036,0.020000
 22|0.420213,16.434037,7.343189|0.420934,16.433805,7.357306,1.566195,8.701084,0.020000|0.420933,16.433805,7.357283,1.566195,8.701084,0.020000
 23|0.440223,16.283818,7.670545|0.440938,16.283576,7.684659,1.716424,9.535687,0.020000|0.440937,16.283576,7.684634,1.716424,9.535687,0.020000
