OneBody1_E-0.05_ecc0.4_RK4.txt
initial value : [x, y, v_x, v_y] = [54.00,0.00,0.00,0.48] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
 39|0.760385,42.468852,40.395754|0.761673,42.464242,40.495648,16.164364,27.570779,0.209747|0.761672,42.464360,40.495653,16.164229,27.570558,0.210381
 40|0.780396,41.832862,41.416401|0.781656,41.828157,41.516290,17.054975,28.964109,0.209887|0.781655,41.828283,41.516296,17.054830,28.963873,0.210542
 41|0.800406,41.178170,42.433069|0.801639,41.173372,42.532953,17.971746,30.385848,0.210029|0.801637,41.173507,42.532960,17.971590,30.385596,0.210705
 42|0.820416,40.504614,43.445563|0.821621,40.499726,43.545444,18.914901,31.835428,0.210174|0.821620,40.499869,43.545450,18.914735,31.835161,0.210871
 43|0.840426,39.812033,44.453684|0.841603,39.807055,44.553560,19.884669,33.312271,0.210323|0.841602,39.807208,44.553567,19.884491,33.311987,0.211039
 44|0.860436,39.100258,45.457222|0.861585,39.095194,45.557094,20.881283,34.815787,0.210474|0.861583,39.095356,45.557102,20.881093,34.815487,0.211209
 45|0.880446,38.369123,46.455960|0.881566,38.363973,46.555827,21.904977,36.345377,0.210628|0.881564,38.364145,46.555836,21.904775,36.345060,0.211381
 46|0.900456,37.618455,47.449673|0.901547,37.613222,47.549536,22.955992,37.900429,0.210784|0.901545,37.613403,47.549545,22.955777,37.900095,0.211555
 47|0.920467,36.848081,48.438125|0.921528,36.842767,48.537984,24.034569,39.480323,0.210944|0.921526,36.842958,48.537994,24.034341,39.479973,0.211730
 48|0.940477,36.057826,49.421074|0.941509,36.052434,49.520928,25.140955,41.084430,0.211106|0.941506,36.052635,49.520939,25.140713,41.084062,0.211907
 49|0.960487,35.247514,50.398265|0.961489,35.242044,50.498115,26.275395,42.712108,0.211270|0.961486,35.242255,50.498127,26.275139,42.711723,0.212085
 50|0.980497,34.416964,51.369436|0.981469,34.411420,51.469282,27.438140,44.362708,0.211437|0.981466,34.411642,51.469294,27.437870,44.362307,0.212264
 51|1.000507,33.565999,52.334313|1.001449,33.560382,52.434155,28.629441,46.035573,0.211607|1.001446,33.560614,52.434167,28.629157,46.035154,0.212445
 52|1.020517,32.694437,53.292612|1.021429,32.688749,53.392450,29.849552,47.730034,0.211779|1.021426,32.688992,53.392463,29.849253,47.729598,0.212626
 53|1.040528,31.802096,54.244038|1.041408,31.796339,54.343872,31.098727,49.445416,0.211953|1.041405,31.796593,54.343887,31.098412,49.444963,0.212808
 54|1.060538,30.888794,55.188286|1.061388,30.882971,55.288116,32.377219,51.181034,0.212129|1.061384,30.883236,55.288131,32.376889,51.180565,0.212991
 55|1.080548,29.954350,56.125038|1.081367,29.948462,56.224865,33.685284,52.936195,0.212308|1.081363,29.948738,56.224881,33.684939,52.935710,0.213175
 56|1.100558,28.998581,57.053965|1.101346,28.992631,57.153788,35.023177,54.710200,0.212489|1.101343,28.992918,57.153805,35.022816,54.709700,0.213359
 57|1.120568,28.021307,57.974725|1.121326,28.015297,58.074544,36.391151,56.502341,0.212672|1.121322,28.015594,58.074562,36.390774,56.501826,0.213543
 58|1.140578,27.022346,58.886964|1.141305,27.016278,58.986779,37.789458,58.311903,0.212857|1.141301,27.016587,58.986798,37.789065,58.311373,0.213728
 59|1.160588,26.001520,59.790314|1.161284,25.995397,59.890126,39.218350,60.138164,0.213044|1.161280,25.995716,59.890145,39.217940,60.137619,0.213913
 60|1.180599,24.958653,60.684395|1.181263,24.952476,60.784204,40.678072,61.980394,0.213233|1.181259,24.952806,60.784224,40.677647,61.979835,0.214097
 61|1.200609,23.893568,61.568813|1.201242,23.887341,61.668619,42.168872,63.837859,0.213424|1.201238,23.887682,61.668640,42.168430,63.837287,0.214282
 62|1.220619,22.806096,62.443160|1.221222,22.799819,62.542963,43.690988,65.709818,0.213617|1.221217,22.800171,62.542984,43.690530,65.709234,0.214466
 63|1.240629,21.696066,63.307012|1.241201,21.689743,63.406812,45.244658,67.595523,0.213811|1.241196,21.690105,63.406834,45.244184,67.594927,0.214650
 64|1.260639,20.563315,64.159931|1.261180,20.556947,64.259728,46.830111,69.494221,0.214007|1.261175,20.557320,64.259752,46.829621,69.493615,0.214833
 65|1.280649,19.407682,65.001466|1.281160,19.401272,65.101260,48.447573,71.405155,0.214205|1.281155,19.401655,65.101284,48.447067,71.404539,0.215016
