OneBody1_E-0.20_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [22.50,0.00,0.00,0.63] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,22.500000,0.000000|0.000562,22.499996,0.012649,0.000004,0.000016,0.020000|0.000562,22.499996,0.012649,0.000004,0.000016,0.020000
  2|0.020010,22.495496,0.450198|0.020572,22.495485,0.462847,0.004515,0.020067,0.020000|0.020572,22.495485,0.462847,0.004515,0.020067,0.020000
  3|0.040020,22.481984,0.900216|0.040582,22.481966,0.912865,0.018034,0.080149,0.020000|0.040582,22.481966,0.912865,0.018034,0.080149,0.020000
  4|0.060030,22.459471,1.349874|0.060592,22.459446,1.362522,0.040554,0.180239,0.020000|0.060592,22.459446,1.362522,0.040554,0.180239,0.020000
  5|0.080041,22.427965,1.798991|0.080601,22.427933,1.811639,0.072067,0.320296,0.020000|0.080601,22.427933,1.811639,0.072067,0.320296,0.020000
  6|0.100051,22.387480,2.247387|0.100610,22.387441,2.260035,0.112559,0.500264,0.020000|0.100610,22.387441,2.260035,0.112559,0.500264,0.020000
  7|0.120061,22.338030,2.694884|0.120619,22.337984,2.707532,0.162016,0.720070,0.020000|0.120619,22.337984,2.707531,0.162016,0.720070,0.020000
  8|0.140071,22.279637,3.141302|0.140628,22.279584,3.153949,0.220416,0.979628,0.020000|0.140628,22.279584,3.153948,0.220416,0.979628,0.020000
  9|0.160081,22.212323,3.586462|0.160636,22.212263,3.599109,0.287737,1.278832,0.020000|0.160636,22.212263,3.599107,0.287737,1.278832,0.020000
 10|0.180091,22.136115,4.030186|0.180645,22.136048,4.042832,0.363952,1.617564,0.020000|0.180645,22.136048,4.042830,0.363952,1.617564,0.020000
 11|0.200101,22.051044,4.472297|0.200653,22.050970,4.484942,0.449030,1.995688,0.020000|0.200653,22.050970,4.484939,0.449030,1.995688,0.020000
 12|0.220112,21.957145,4.912617|0.220661,21.957063,4.925261,0.542937,2.413051,0.020000|0.220661,21.957063,4.925257,0.542937,2.413051,0.020000
 13|0.240122,21.854453,5.350970|0.240668,21.854365,5.363612,0.645635,2.869488,0.020000|0.240668,21.854365,5.363608,0.645635,2.869488,0.020000
 14|0.260132,21.743012,5.787180|0.260676,21.742917,5.799822,0.757083,3.364815,0.020000|0.260676,21.742917,5.799817,0.757083,3.364815,0.020000
 15|0.280142,21.622864,6.221073|0.280683,21.622762,6.233714,0.877238,3.898834,0.020000|0.280683,21.622762,6.233708,0.877238,3.898834,0.020000
 16|0.300152,21.494059,6.652475|0.300690,21.493950,6.665115,1.006050,4.471332,0.020000|0.300690,21.493950,6.665109,1.006050,4.471332,0.020000
 17|0.320162,21.356648,7.081214|0.320697,21.356532,7.093852,1.143468,5.082078,0.020000|0.320697,21.356532,7.093845,1.143468,5.082078,0.020000
 18|0.340172,21.210686,7.507118|0.340704,21.210564,7.519754,1.289436,5.730829,0.020000|0.340703,21.210564,7.519746,1.289436,5.730829,0.020000
 19|0.360183,21.056231,7.930015|0.360710,21.056102,7.942650,1.443898,6.417324,0.020000|0.360710,21.056102,7.942641,1.443898,6.417324,0.020000
 20|0.380193,20.893345,8.349738|0.380716,20.893210,8.362371,1.606790,7.141289,0.020000|0.380716,20.893210,8.362361,1.606790,7.141289,0.020000
 21|0.400203,20.722094,8.766117|0.400722,20.721952,8.778749,1.778048,7.902434,0.020000|0.400722,20.721952,8.778738,1.778048,7.902434,0.020000
 22|0.420213,20.542546,9.178987|0.420728,20.542398,9.191617,1.957602,8.700454,0.020000|0.420728,20.542398,9.191605,1.957602,8.700455,0.020000
 23|0.440223,20.354773,9.588181|0.440734,20.354618,9.600809,2.145382,9.535030,0.020000|0.440733,20.354618,9.600796,2.145382,9.535031,0.020000
 24|0.460233,20.158850,9.993536|0.460739,20.158689,10.006163,2.341311,10.405828,0.020000|0.460739,20.158689,10.006148,2.341311,10.405828,0.020000
 25|0.480243,19.954856,10.394890|0.480744,19.954688,10.407515,2.545312,11.312498,0.020000|0.480744,19.954688,10.407499,2.545312,11.312498,0.020000
 26|0.500254,19.742871,10.792082|0.500749,19.742697,10.804704,2.757303,12.254678,0.020000|0.500749,19.742697,10.804687,2.757303,12.254678,0.020000
 27|0.520264,19.522982,11.184953|0.520754,19.522802,11.197573,2.977198,13.231991,0.020000|0.520754,19.522802,11.197555,2.977198,13.231991,0.020000
 28|0.540274,19.295276,11.573345|0.540759,19.295090,11.585963,3.204910,14.244045,0.020000|0.540758,19.295090,11.585944,3.204910,14.244045,0.020000
 29|0.560284,19.059844,11.957104|0.560763,19.059652,11.969720,3.440348,15.290435,0.020000|0.560763,19.059652,11.969698,3.440348,15.290435,0.020000
 30|0.580294,18.816781,12.336075|0.580768,18.816583,12.348688,3.683417,16.370742,0.020000|0.580767,18.816583,12.348666,3.683417,16.370742,0.020000
 31|0.600304,18.566184,12.710106|0.600772,18.565980,12.722718,3.934020,17.484533,0.020000|0.600771,18.565980,12.722693,3.934020,17.484534,0.020000
 32|0.620314,18.308153,13.079049|0.620776,18.307943,13.091658,4.192057,18.631364,0.020000|0.620775,18.307943,13.091632,4.192057,18.631364,0.020000
 33|0.640325,18.042792,13.442755|0.640779,18.042576,13.455361,4.457424,19.810773,0.020000|0.640779,18.042576,13.455334,4.457424,19.810774,0.020000
 34|0.660335,17.770206,13.801079|0.660783,17.769985,13.813682,4.730015,21.022290,0.020000|0.660782,17.769985,13.813653,4.730015,21.022290,0.020000
 35|0.680345,17.490505,14.153876|0.680786,17.490279,14.166477,5.009721,22.265429,0.020000|0.680785,17.490278,14.166446,5.009722,22.265429,0.020000
 36|0.700355,17.203802,14.501007|0.700790,17.203569,14.513605,5.296431,23.539692,0.020000|0.700789,17.203569,14.513573,5.296431,23.539692,0.020000
 37|0.720365,16.910210,14.842332|0.720793,16.909972,14.854927,5.590028,24.844569,0.020000|0.720792,16.909972,14.854892,5.590028,24.844570,0.020000
 38|0.740375,16.609847,15.177713|0.740796,16.609604,15.190306,5.890396,26.179538,0.020000|0.740794,16.609604,15.190269,5.890396,26.179539,0.020000
 39|0.760385,16.302834,15.507018|0.760798,16.302585,15.519608,6.197415,27.544065,0.020000|0.760797,16.302585,15.519569,6.197415,27.544065,0.020000
 40|0.780396,15.989293,15.830114|0.780801,15.989040,15.842701,6.510960,28.937602,0.020000|0.780800,15.989040,15.842660,6.510960,28.937602,0.020000
 41|0.800406,15.669350,16.146872|0.800803,15.669092,16.159455,6.830908,30.359591,0.020000|0.800802,15.669092,16.159413,6.830908,30.359592,0.020000
 42|0.820416,15.343134,16.457164|0.820806,15.342870,16.469745,7.157130,31.809465,0.020000|0.820804,15.342870,16.469700,7.157130,31.809465,0.020000
 43|0.840426,15.010774,16.760867|0.840808,15.010506,16.773445,7.489494,33.286641,0.020000|0.840806,15.010506,16.773398,7.489494,33.286642,0.020000
 44|0.860436,14.672404,17.057859|0.860810,14.672131,17.070434,7.827869,34.790529,0.020000|0.860808,14.672131,17.070385,7.827869,34.790530,0.020000
 45|0.880446,14.328159,17.348022|0.880811,14.327882,17.360593,8.172118,36.320526,0.020000|0.880810,14.327881,17.360542,8.172119,36.320527,0.020000
 46|0.900456,13.978177,17.631238|0.900813,13.977895,17.643806,8.522105,37.876020,0.020000|0.900812,13.977895,17.643753,8.522105,37.876021,0.020000
 47|0.920467,13.622599,17.907395|0.920815,13.622313,17.919959,8.877687,39.456388,0.020000|0.920813,13.622312,17.919904,8.877688,39.456389,0.020000
 48|0.940477,13.261566,18.176382|0.940816,13.261276,18.188943,9.238724,41.060998,0.020000|0.940815,13.261275,18.188885,9.238725,41.060998,0.020000
 49|0.960487,12.895223,18.438091|0.960817,12.894929,18.450649,9.605071,42.689206,0.020000|0.960816,12.894929,18.450589,9.605071,42.689206,0.020000
 50|0.980497,12.523717,18.692418|0.980819,12.523419,18.704972,9.976581,44.340360,0.020000|0.980817,12.523419,18.704910,9.976581,44.340361,0.020000
 51|1.000507,12.147197,18.939261|1.000820,12.146895,18.951811,10.353105,46.013801,0.020000|1.000818,12.146895,18.951746,10.353105,46.013802,0.020000
 52|1.020517,11.765813,19.178520|1.020820,11.765507,19.191067,10.734493,47.708857,0.020000|1.020819,11.765507,19.191000,10.734493,47.708858,0.020000
 53|1.040528,11.379718,19.410101|1.040821,11.379409,19.422644,11.120591,49.424850,0.020000|1.040820,11.379408,19.422574,11.120592,49.424851,0.020000
 54|1.060538,10.989067,19.633909|1.060822,10.988754,19.646449,11.511246,51.161094,0.020000|1.060820,10.988754,19.646377,11.511246,51.161094,0.020000
 55|1.080548,10.594016,19.849857|1.080822,10.593699,19.862393,11.906301,52.916891,0.020000|1.080821,10.593699,19.862318,11.906301,52.916892,0.020000
 56|1.100558,10.194723,20.057857|1.100823,10.194403,20.070389,12.305597,54.691541,0.020000|1.100821,10.194403,20.070311,12.305597,54.691542,0.020000
 57|1.120568,9.791349,20.257825|1.120823,9.791025,20.270354,12.708975,56.484332,0.020000|1.120822,9.791025,20.270274,12.708975,56.484333,0.020000
 58|1.140578,9.384053,20.449683|1.140823,9.383727,20.462207,13.116273,58.294546,0.020000|1.140822,9.383727,20.462125,13.116273,58.294547,0.020000
 59|1.160588,8.973001,20.633353|1.160824,8.972672,20.645873,13.527328,60.121459,0.020000|1.160822,8.972672,20.645788,13.527328,60.121459,0.020000
 60|1.180599,8.558356,20.808761|1.180824,8.558024,20.821278,13.941976,61.964339,0.020000|1.180822,8.558024,20.821190,13.941976,61.964339,0.020000
 61|1.200609,8.140284,20.975838|1.200824,8.139949,20.988351,14.360051,63.822448,0.020000|1.200822,8.139949,20.988260,14.360051,63.822448,0.020000
 62|1.220619,7.718953,21.134516|1.220823,7.718616,21.147025,14.781384,65.695042,0.020000|1.220822,7.718615,21.146932,14.781385,65.695042,0.020000
 63|1.240629,7.294531,21.284732|1.240823,7.294191,21.297237,15.205809,67.581372,0.020000|1.240822,7.294191,21.297141,15.205809,67.581372,0.020000
 64|1.260639,6.867188,21.426426|1.260823,6.866847,21.438926,15.633153,69.480682,0.020000|1.260822,6.866847,21.438828,15.633153,69.480682,0.020000
 65|1.280649,6.437096,21.559541|1.280823,6.436752,21.572037,16.063248,71.392211,0.020000|1.280821,6.436752,21.571936,16.063248,71.392211,0.020000
 66|1.300659,6.004427,21.684023|1.300822,6.004081,21.696516,16.495919,73.315195,0.020000|1.300821,6.004081,21.696412,16.495919,73.315195,0.020000
 67|1.320670,5.569353,21.799823|1.320822,5.569006,21.812312,16.930994,75.248864,0.020000|1.320821,5.569006,21.812205,16.930994,75.248864,0.020000
 68|1.340680,5.132050,21.906895|1.340821,5.131700,21.919380,17.368300,77.192442,0.020000|1.340820,5.131701,21.919270,17.368299,77.192442,0.020000
 69|1.360690,4.692692,22.005196|1.360821,4.692341,22.017676,17.807659,79.145153,0.020000|1.360820,4.692341,22.017564,17.807659,79.145152,0.020000
 70|1.380700,4.251454,22.094686|1.380820,4.251102,22.107162,18.248898,81.106214,0.020000|1.380819,4.251102,22.107047,18.248898,81.106213,0.020000
 71|1.400710,3.808515,22.175329|1.400819,3.808161,22.187801,18.691839,83.074839,0.020000|1.400818,3.808161,22.187683,18.691839,83.074839,0.020000
 72|1.420720,3.364051,22.247093|1.420819,3.363696,22.259562,19.136304,85.050242,0.020000|1.420818,3.363696,22.259440,19.136304,85.050241,0.020000
 73|1.440730,2.918239,22.309950|1.440818,2.917883,22.322414,19.582117,87.031630,0.020000|1.440817,2.917884,22.322290,19.582116,87.031629,0.020000
 74|1.460741,2.471260,22.363874|1.460817,2.470903,22.376334,20.029097,89.018211,0.020000|1.460816,2.470903,22.376207,20.029097,89.018209,0.020000
 75|1.480751,2.023290,22.408844|1.480816,2.022933,22.421300,20.477067,91.009189,0.020000|1.480816,2.022933,22.421170,20.477067,91.009187,0.020000
 76|1.500761,1.574511,22.444842|1.500815,1.574153,22.457293,20.925847,93.003766,0.020000|1.500815,1.574153,22.457160,20.925847,93.003764,0.020000
 77|1.520771,1.125101,22.471852|1.520815,1.124742,22.484300,21.375258,95.001145,0.020000|1.520814,1.124743,22.484164,21.375257,95.001143,0.020000
 78|1.540781,0.675241,22.489865|1.540814,0.674882,22.502309,21.825118,97.000526,0.020000|1.540813,0.674882,22.502170,21.825118,97.000523,0.020000
 79|1.560791,0.225110,22.498874|1.560813,0.224751,22.511313,22.275249,99.001107,0.020000|1.560813,0.224752,22.511171,22.275248,99.001104,0.020000
 80|1.580801,-0.225110,22.498874|1.580812,-0.225470,22.511309,22.274530,98.997912,0.020000|1.580812,-0.225469,22.511164,22.274531,98.997915,0.020000
 81|1.600812,-0.675241,22.489865|1.600811,-0.675600,22.502296,21.824400,96.997331,0.020000|1.600811,-0.675600,22.502149,21.824400,96.997335,0.020000
 82|1.620822,-1.125101,22.471852|1.620810,-1.125460,22.484279,21.374540,94.997953,0.020000|1.620810,-1.125460,22.484128,21.374540,94.997958,0.020000
 83|1.640832,-1.574511,22.444842|1.640809,-1.574870,22.457264,20.925130,93.000578,0.020000|1.640810,-1.574869,22.457111,20.925131,93.000583,0.020000
 84|1.660842,-2.023290,22.408844|1.660808,-2.023649,22.421263,20.476351,91.006006,0.020000|1.660809,-2.023648,22.421106,20.476352,91.006010,0.020000
 85|1.680852,-2.471260,22.363874|1.680807,-2.471617,22.376289,20.028383,89.015034,0.020000|1.680808,-2.471616,22.376129,20.028384,89.015039,0.020000
 86|1.700862,-2.918239,22.309950|1.700806,-2.918596,22.322361,19.581404,87.028460,0.020000|1.700807,-2.918595,22.322198,19.581405,87.028466,0.020000
 87|1.720872,-3.364051,22.247093|1.720806,-3.364407,22.259500,19.135593,85.047081,0.020000|1.720807,-3.364405,22.259334,19.135595,85.047087,0.020000
 88|1.740883,-3.808515,22.175329|1.740805,-3.808870,22.187731,18.691130,83.071688,0.020000|1.740806,-3.808869,22.187563,18.691131,83.071695,0.020000
 89|1.760893,-4.251454,22.094686|1.760804,-4.251809,22.107084,18.248191,81.103073,0.020000|1.760805,-4.251807,22.106912,18.248193,81.103081,0.020000
 90|1.780903,-4.692692,22.005196|1.780803,-4.693044,22.017590,17.806956,79.142025,0.020000|1.780805,-4.693043,22.017416,17.806957,79.142033,0.020000
 91|1.800913,-5.132050,21.906895|1.800803,-5.132401,21.919286,17.367599,77.189327,0.020000|1.800804,-5.132399,21.919108,17.367601,77.189336,0.020000
 92|1.820923,-5.569353,21.799823|1.820802,-5.569703,21.812210,16.930297,75.245763,0.020000|1.820804,-5.569701,21.812029,16.930299,75.245773,0.020000
 93|1.840933,-6.004427,21.684023|1.840801,-6.004775,21.696406,16.495225,73.312111,0.020000|1.840803,-6.004773,21.696222,16.495227,73.312121,0.020000
 94|1.860943,-6.437096,21.559541|1.860801,-6.437443,21.571919,16.062557,71.389144,0.020000|1.860803,-6.437440,21.571733,16.062560,71.389154,0.020000
 95|1.880954,-6.867188,21.426426|1.880800,-6.867533,21.438800,15.632467,69.477632,0.020000|1.880803,-6.867530,21.438611,15.632470,69.477643,0.020000
 96|1.900964,-7.294531,21.284732|1.900800,-7.294873,21.297103,15.205127,67.578341,0.020000|1.900803,-7.294870,21.296911,15.205130,67.578353,0.020000
 97|1.920974,-7.718953,21.134516|1.920800,-7.719293,21.146883,14.780707,65.692032,0.020000|1.920802,-7.719290,21.146688,14.780710,65.692045,0.020000
 98|1.940984,-8.140284,20.975838|1.940799,-8.140622,20.988201,14.359378,63.819459,0.020000|1.940802,-8.140619,20.988003,14.359381,63.819473,0.020000
 99|1.960994,-8.558356,20.808761|1.960799,-8.558691,20.821121,13.941309,61.961373,0.020000|1.960802,-8.558688,20.820920,13.941312,61.961387,0.020000
100|1.981004,-8.973001,20.633353|1.980799,-8.973334,20.645709,13.526666,60.118517,0.020000|1.980802,-8.973330,20.645505,13.526670,60.118532,0.020000
101|2.001014,-9.384053,20.449683|2.000799,-9.384383,20.462035,13.115617,58.291629,0.020000|2.000803,-9.384380,20.461829,13.115620,58.291645,0.020000
102|2.021025,-9.791349,20.257825|2.020799,-9.791676,20.270174,12.708324,56.481441,0.020000|2.020803,-9.791672,20.269965,12.708328,56.481458,0.020000
103|2.041035,-10.194723,20.057857|2.040799,-10.195048,20.070201,12.304952,54.688677,0.020000|2.040803,-10.195044,20.069990,12.304956,54.688695,0.020000
104|2.061045,-10.594016,19.849857|2.060799,-10.594337,19.862198,11.905663,52.914056,0.020000|2.060804,-10.594333,19.861984,11.905667,52.914075,0.020000
105|2.081055,-10.989067,19.633909|2.080800,-10.989385,19.646247,11.510615,51.158287,0.020000|2.080804,-10.989381,19.646030,11.510619,51.158307,0.020000
106|2.101065,-11.379718,19.410101|2.100800,-11.380033,19.422435,11.119967,49.422075,0.020000|2.100805,-11.380028,19.422215,11.119972,49.422096,0.020000
107|2.121075,-11.765813,19.178520|2.120801,-11.766125,19.190851,10.733875,47.706113,0.020000|2.120806,-11.766120,19.190628,10.733880,47.706135,0.020000
108|2.141085,-12.147197,18.939261|2.140801,-12.147505,18.951588,10.352495,46.011089,0.020000|2.140807,-12.147500,18.951363,10.352500,46.011112,0.020000
109|2.161096,-12.523717,18.692418|2.160802,-12.524022,18.704742,9.975978,44.337682,0.020000|2.160808,-12.524016,18.704514,9.975984,44.337706,0.020000
110|2.181106,-12.895223,18.438091|2.180803,-12.895524,18.450412,9.604476,42.686562,0.020000|2.180809,-12.895518,18.450182,9.604482,42.686587,0.020000
111|2.201116,-13.261566,18.176382|2.200804,-13.261862,18.188700,9.238138,41.058389,0.020000|2.200810,-13.261856,18.188467,9.238144,41.058416,0.020000
112|2.221126,-13.622599,17.907395|2.220805,-13.622891,17.919709,8.877109,39.453816,0.020000|2.220811,-13.622885,17.919474,8.877115,39.453844,0.020000
113|2.241136,-13.978177,17.631238|2.240806,-13.978466,17.643549,8.521534,37.873486,0.020000|2.240813,-13.978459,17.643311,8.521541,37.873515,0.020000
114|2.261146,-14.328159,17.348022|2.260808,-14.328443,17.360330,8.171557,36.318030,0.020000|2.260814,-14.328436,17.360089,8.171564,36.318061,0.020000
115|2.281156,-14.672404,17.057859|2.280809,-14.672684,17.070164,7.827316,34.788072,0.020000|2.280816,-14.672677,17.069922,7.827323,34.788104,0.020000
116|2.301167,-15.010774,16.760867|2.300811,-15.011049,16.773169,7.488951,33.284225,0.020000|2.300818,-15.011042,16.772924,7.488958,33.284258,0.020000
117|2.321177,-15.343134,16.457164|2.320813,-15.343405,16.469463,7.156595,31.807090,0.020000|2.320820,-15.343397,16.469216,7.156603,31.807124,0.020000
118|2.341187,-15.669350,16.146872|2.340815,-15.669617,16.159168,6.830383,30.357259,0.020000|2.340822,-15.669609,16.158918,6.830391,30.357294,0.020000
119|2.361197,-15.989293,15.830114|2.360817,-15.989555,15.842407,6.510445,28.935312,0.020000|2.360825,-15.989547,15.842155,6.510453,28.935349,0.020000
120|2.381207,-16.302834,15.507018|2.380819,-16.303091,15.519309,6.196909,27.541819,0.020000|2.380827,-16.303082,15.519055,6.196918,27.541857,0.020000
121|2.401217,-16.609847,15.177713|2.400822,-16.610099,15.190001,5.889901,26.177337,0.020000|2.400830,-16.610090,15.189745,5.889910,26.177377,0.020000
122|2.421227,-16.910210,14.842332|2.420825,-16.910457,14.854617,5.589543,24.842414,0.020000|2.420833,-16.910448,14.854358,5.589552,24.842455,0.020000
123|2.441238,-17.203802,14.501007|2.440827,-17.204044,14.513290,5.295956,23.537583,0.020000|2.440836,-17.204034,14.513029,5.295966,23.537626,0.020000
124|2.461248,-17.490505,14.153876|2.460830,-17.490742,14.166156,5.009258,22.263367,0.020000|2.460839,-17.490732,14.165894,5.009268,22.263411,0.020000
