result_new_OneBody2_E-0.25_ecc0.8_RK4.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|7.572379867593071e-08,6.261657858885883e-14,99.99991730924798
2|8.03858867803875e-08,6.705747068735946e-14,99.99991658054246
3|6.281020238918522e-07,7.860379014346108e-14,99.999987485506
4|5.251096934499877e-07,9.725553695716371e-14,99.9999814790056
5|1.7499303162082924e-07,1.2922996006636822e-13,99.99992615136793
6|5.120084231591271e-07,1.8562928971732617e-13,99.9999637448758
7|4.483137917565827e-07,2.8466118351389014e-13,99.99993650403161
8|1.95120284762762e-07,4.654054919228656e-13,99.99976147764826
9|7.474421436781675e-07,8.117950756059145e-13,99.99989139024572
10|2.6458036761489723e-07,1.4988010832439613e-12,99.99943351765033
11|7.503514487527951e-08,2.9056757000489597e-12,99.99612758034267
12|4.21247072557307e-07,5.858868945551876e-12,99.9986091609112
13|1.466431226448961e-07,1.2151168959917413e-11,99.99171378190756
14|1.3517533281603988e-07,2.5619062427040262e-11,99.98104753145908
15|5.982648602076424e-07,5.42361711097783e-11,99.99093442140477
16|1.8280683755644844e-07,1.1407585986944468e-10,99.93759759678889
17|3.80111170650288e-07,2.360389661504314e-10,99.93790264944158
18|1.6944706338062332e-07,4.766735894889962e-10,99.71868878694093
19|1.0174980946686674e-07,9.33211063980366e-10,99.08283753171621
20|2.749729712814286e-07,1.7598493773363089e-09,99.35999186787885
21|1.4669200920636172e-07,3.1779345821547622e-09,97.8336007534779
22|4.312359551672529e-07,5.458704821492688e-09,98.73417214958907
23|2.8123073980701463e-07,8.858421773894065e-09,96.85012321911437
24|1.680243766344347e-08,1.3478460014759719e-08,19.782710790325524
25|5.96447193856875e-08,1.9090155900514105e-08,67.99355232594986
26|3.921301647835662e-07,2.4997494074696647e-08,93.62520501617266
27|9.154297853086746e-08,3.009888682736772e-08,67.12048557911118
28|4.960920201302343e-07,3.321589336913178e-08,93.30448948555716
29|4.795116488320872e-07,3.35704060105968e-08,92.99904265259
30|3.2455255372099145e-08,3.112790303294588e-08,4.08979169609108
31|2.4381500107750753e-07,2.6610776360236343e-08,89.08566895283981
32|3.2296577545665173e-07,2.1115025394813358e-08,93.46214769507446
33|4.3711954411662646e-07,1.5685669652043543e-08,96.41158354432706
34|3.9079987290691065e-07,1.1012039502489301e-08,97.18217935421069
35|3.5689609045874704e-08,7.378532118629266e-09,79.32582531474343
36|4.7373008404960615e-07,4.76362316259582e-09,98.99444360343874
37|8.838139287092872e-08,2.9888816976963994e-09,96.61820027880604
