result_new_OneBody2_E-0.05_ecc0.0_RK4.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|2.814495303482545e-10,2.0002812490815813e-06,710606.9059971472
2|1.3674927856754948e-10,1.9996503990427072e-06,1462174.9165400153
3|6.499991656028214e-10,2.0002860487977614e-06,307636.71023756755
4|5.085993848297221e-10,1.999658399753912e-06,393069.64577599574
5|8.314504640338782e-10,2.000297248727634e-06,240479.24497665922
6|1.0003482486808934e-09,1.999672800678809e-06,199797.66596939336
7|9.794014488306857e-10,2.0003148506475554e-06,204138.50230523403
8|1.4200001174913268e-09,1.9996936000410415e-06,140723.48130884964
9|1.3242491547771351e-09,2.0003388492284557e-06,150954.56869746716
10|1.4987495688956187e-09,1.999720801393323e-06,133325.94672883573
11|2.1732002863927846e-09,2.0003692480230484e-06,91947.16475274296
12|8.909992743610928e-10,1.9997544011829405e-06,224339.50951777157
13|4.3115981895880395e-09,1.9997736036003744e-06,46281.26086121784
14|8.256506589532364e-10,2.0004268499462796e-06,242184.89716006885
15|2.490549988465318e-09,1.999816801045995e-06,80196.1920181448
16|5.968750826923497e-09,1.999840803179609e-06,33405.18158940129
17|9.53455092655986e-09,1.999866405810735e-06,20874.940730976858
18|1.7247998584934976e-09,2.000526050593976e-06,115885.98183683222
19|4.5909995805004655e-09,1.9999224019073836e-06,43461.80755061998
20|7.29279925337778e-09,1.99995280425469e-06,27323.664559645997
21|9.736600858900601e-09,1.9999848053231517e-06,20440.893421700537
22|1.1823999557236675e-08,2.000018406889126e-06,16814.905969063988
23|1.3451799674157883e-08,2.000053608952612e-06,14768.29760626673
24|2.9690349734323718e-08,1.999458067558635e-06,6634.3702093449865
25|3.070255161219393e-08,2.0001288181248356e-06,6414.536131682481
26|3.091675004895933e-08,2.000168818128145e-06,6369.531289545977
27|3.021055050567156e-08,2.000210418628967e-06,6520.900265466724
28|4.616460103079589e-08,1.999621277448682e-06,4231.503430766697
29|4.386360075159246e-08,2.0002984264522183e-06,4460.269545084253
30|5.9218749015599315e-08,1.999712486266958e-06,3276.8232519403555
31|5.477575015788716e-08,2.000392832712805e-06,3551.9679364441686
32|6.896559945346326e-08,1.9998100917462125e-06,2799.721176346257
33|8.266455076011425e-08,1.999861298784822e-06,2319.248977216673
34|9.571660086749034e-08,1.9999141080973004e-06,1989.4119619500207
35|1.0796095040177534e-07,1.9999685143545776e-06,1752.4925048470948
36|1.1923200027297298e-07,2.000024521109367e-06,1577.4226017599776
37|1.2935935167490697e-07,2.0000821283616688e-06,1446.144211813983
