result_new_OneBody2_E-0.05_ecc0.4_RK4.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|6.214423020622917e-07,1.7763568394002505e-15,99.99999971415579
2|3.1425510194083017e-07,0.0,100.0
3|7.193146522865845e-09,0.0,100.0
4|1.669525193648269e-07,0.0,100.0
5|1.6514238865283914e-07,1.7763568394002505e-15,99.99999892434835
6|5.464415586686755e-09,0.0,100.0
7|2.9662841960487185e-07,0.0,100.0
8|6.290274443543353e-07,0.0,100.0
9|1.6060402785456063e-08,0.0,100.0
10|6.478443603796791e-07,1.7763568394002505e-15,99.999999725805
11|2.7576074135282624e-07,1.7763568394002505e-15,99.99999935583403
12|4.4104554675072905e-08,0.0,100.0
13|2.069860496334286e-07,0.0,100.0
14|2.4369105044996786e-07,0.0,100.0
15|1.2636924129338922e-07,0.0,100.0
16|1.4584094820691007e-07,0.0,100.0
17|5.738589674564309e-07,0.0,100.0
18|2.8114450234539845e-07,0.0,100.0
19|4.899144867565042e-07,1.7763568394002505e-15,99.99999963741492
20|5.32308499501255e-08,0.0,100.0
21|4.4061917492399516e-07,0.0,100.0
22|6.355914177191835e-07,0.0,100.0
23|5.890023686561108e-07,0.0,100.0
24|6.193868955506332e-07,0.0,100.0
25|6.083260561950965e-07,1.7763568394002505e-15,99.99999970799264
26|3.2259168047943376e-07,1.7763568394002505e-15,99.99999944934822
27|1.6160544991095094e-07,0.0,100.0
28|5.926087229823906e-07,0.0,100.0
29|3.551658167566529e-08,1.7763568394002505e-15,99.99999499851405
30|5.350607930054707e-07,0.0,100.0
31|5.180515616487469e-07,1.7763568394002505e-15,99.9999996571081
32|1.91570418195397e-07,0.0,100.0
33|2.0401793143776104e-08,0.0,100.0
34|6.479492498101536e-09,0.0,100.0
35|7.299652082792818e-08,0.0,100.0
36|2.1526488147571854e-07,0.0,100.0
37|6.548712443432692e-07,0.0,100.0
38|3.7017821874485435e-07,0.0,100.0
39|3.0654426819154423e-07,0.0,100.0
40|4.932111030697683e-07,0.0,100.0
41|3.2404615879499943e-07,0.0,100.0
42|1.8900534914934042e-07,1.7763568394002505e-15,99.99999906015526
43|7.096806697859392e-07,0.0,100.0
44|3.893515279074222e-07,0.0,100.0
45|2.5177350693184053e-07,1.7763568394002505e-15,99.99999929446237
46|1.7245382366581907e-07,1.7763568394002505e-15,99.99999896995219
47|2.2317745695943358e-07,1.7763568394002505e-15,99.99999920406081
48|3.579485996496601e-07,0.0,100.0
49|4.3340016375736923e-07,1.7763568394002505e-15,99.9999995901347
50|6.4969593349673e-07,0.0,100.0
