result_new_OneBody2_E-0.15_ecc0.8_RK4.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|0.005999269471133717,8.881784197001252e-16,99.99999999998519
2|0.005999279275156311,1.7763568394002505e-15,99.99999999997038
3|0.005999805840713246,8.881784197001252e-16,99.99999999998519
4|0.005999558776857095,8.881784197001252e-16,99.99999999998519
5|0.005999981702216051,8.881784197001252e-16,99.99999999998519
6|0.005999281487493957,8.881784197001252e-16,99.99999999998519
7|0.005999964047762596,8.881784197001252e-16,99.99999999998519
8|0.0060007679883749,1.7763568394002505e-15,99.9999999999704
9|0.006000262225639985,1.7763568394002505e-15,99.9999999999704
10|0.006000139725070963,2.6645352591003757e-15,99.99999999995559
11|0.005999813647407093,1.7763568394002505e-15,99.9999999999704
12|0.006000679142418863,1.7763568394002505e-15,99.9999999999704
13|0.0060000414623072595,1.7763568394002505e-15,99.9999999999704
14|0.0059991097227554135,1.7763568394002505e-15,99.99999999997038
15|0.006000001058575566,2.6645352591003757e-15,99.99999999995559
16|0.006000100951296217,2.6645352591003757e-15,99.99999999995559
17|0.00599904697914122,2.6645352591003757e-15,99.99999999995559
18|0.0059993359802708035,2.6645352591003757e-15,99.99999999995559
19|0.006000543820027571,4.440892098500626e-15,99.99999999992599
20|0.0059991674968123965,3.552713678800501e-15,99.99999999994078
21|0.0059998438913352325,4.440892098500626e-15,99.99999999992599
22|0.006000491209629866,5.329070518200751e-15,99.9999999999112
23|0.006000026321489549,6.217248937900877e-15,99.99999999989637
24|0.00600013970531732,8.881784197001252e-15,99.99999999985198
25|0.006000159651081027,8.881784197001252e-15,99.99999999985198
26|0.005999814849022678,9.769962616701378e-15,99.99999999983716
27|0.005999801139904282,1.2434497875801753e-14,99.99999999979275
28|0.0060003453331470835,1.3322676295501878e-14,99.99999999977797
29|0.005999864225457063,1.687538997430238e-14,99.99999999971874
30|0.005999310763298515,1.865174681370263e-14,99.9999999996891
31|0.006000483632788045,2.042810365310288e-14,99.99999999965956
32|0.005999533910725274,2.5757174171303632e-14,99.99999999957068
33|0.005999515210548534,2.842170943040401e-14,99.99999999952627
34|0.005999860508688615,3.375077994860476e-14,99.99999999943748
35|0.0060005090544339446,3.8191672047105385e-14,99.99999999936352
36|0.0060006158397540865,4.39648317751562e-14,99.99999999926733
37|0.005999656685393262,5.062616992290714e-14,99.99999999915619
38|0.005999763272048986,5.81756864903582e-14,99.99999999903036
39|0.006000036029031541,6.661338147750939e-14,99.99999999888978
40|0.006000595413415688,7.682743330406083e-14,99.99999999871967
