result_new_OneBody2_E-0.20_ecc0.4_RK4.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|1.4824047100958637e-07,6.8436064781352e-05,46065.57429645943
2|6.542266723918999e-07,6.842996381806188e-05,10359.671961688293
3|1.0986006371282997e-07,6.844467477140626e-05,62201.68858295771
4|6.995645129848072e-08,6.844514008896851e-05,97739.63997392614
5|5.695445530751186e-07,6.84596013718064e-05,11920.060766480035
6|3.5536708042904763e-07,6.847347267058268e-05,19168.378091721992
7|2.5033401329643823e-07,6.847993585212819e-05,27255.426036747253
8|2.9951121671700776e-07,6.849374530659702e-05,22768.5075829107
9|7.358578955063422e-07,6.852036059790123e-05,9211.629462201057
10|4.1486246216138056e-08,6.853379363036538e-05,165096.42021433573
11|7.519248335086104e-09,6.855278970263612e-05,911597.3751585918
12|5.16133320305201e-07,6.857849122798854e-05,13186.972286043569
13|2.275968471465717e-07,6.86047831965908e-05,30043.116680526564
14|6.944022290511498e-08,6.862912166605284e-05,98731.94320938391
15|3.2629798951688826e-07,6.866113604564461e-05,20942.46371462577
16|6.654620705592862e-07,6.869084635896527e-05,10222.278218085998
17|2.4043891322378386e-08,6.872240089750292e-05,285720.6268531121
18|2.3223566714136723e-07,6.875857041910294e-05,29507.23960512405
19|4.6280477827842503e-07,6.879442058860263e-05,14764.673792805064
20|1.9607847145941548e-07,6.882869462776497e-05,35002.627083673084
21|3.9606997992436277e-07,6.887661837096104e-05,17290.012336737655
22|2.281012490001899e-09,6.891027921707149e-05,3020939.1007992295
23|7.491210585186536e-08,6.895622584934813e-05,91949.509308556
24|7.507208177326419e-07,6.90072486126958e-05,9092.132012685403
25|1.4816166293840638e-07,6.904562139720127e-05,46501.54322505468
26|1.1177170922138657e-07,6.910135652349325e-05,61723.65556083962
27|8.162424793844991e-07,6.91479485572799e-05,8371.495946819876
28|3.730740032459323e-07,6.919596464216582e-05,18447.51712532258
29|1.4957383687175252e-07,6.925578774286123e-05,46202.07340488462
30|1.1081680684199569e-07,6.930447756170466e-05,62439.681061664276
31|9.761273234154544e-08,6.936854268069226e-05,70965.05577363903
32|7.566655346735729e-08,6.94212905822944e-05,91646.33626235255
33|1.9692415809124952e-07,6.948049931709832e-05,35182.87234565851
34|1.4634222988973988e-07,6.953716998658876e-05,47416.81728437571
35|5.287228788120046e-07,6.960487900320445e-05,13064.718568562928
36|2.2677952338234775e-07,6.966530347751743e-05,30619.397606309678
37|1.5236294981235687e-07,6.97298669791735e-05,45665.63204181171
38|3.7203033831367804e-07,6.979590928724022e-05,18660.81117567129
