result_new_OneBody2_E-0.25_ecc0.8_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|0.0022182029444802187,0.0010713561005548655,51.701619402281
2|0.0022382061877502246,0.00044071201733197896,80.30958810926312
3|0.002300032820533482,0.00039364216331216895,82.88536755658706
4|0.0024013219735010694,0.0003895213244531348,83.77887976907894
5|0.0025446851606924503,0.00040562653216502653,84.05985390921018
6|0.002726319177691394,0.00043726292284507196,83.96141851537209
7|0.0029467480920052913,0.000484115136247798,83.5712072721373
8|0.0031988714541916208,0.000547981211495685,82.86954573377304
9|0.003477254834535204,0.0006319814434987414,81.82527673203403
10|0.003770958556168824,0.0007404648871127684,80.3640141867521
11|0.004062310075569009,0.0008787676712125325,78.36778446585116
12|0.004330856801029848,0.0010531552175017111,75.68252043680414
13|0.004553043780969546,0.0012705455274040212,72.09459015714833
14|0.004702263937377826,0.0015380407571612409,67.2914838970329
15|0.0047555759210979875,0.001862262278143234,60.8404468976858
16|0.004697042803003204,0.0022488352878622386,52.122316483376004
17|0.004523097297680967,0.0027014640409739332,40.27402323715215
18|0.004241507581045578,0.0032216180954518503,24.0454476646795
19|0.003873158276979538,0.0038077304364696474,1.6892632789826048
20|0.0034441273927605653,0.004454378092422218,29.332559004209998
21|0.002985701663119622,0.005151551536167753,72.54073304782683
22|0.002523138867188912,0.005883113660251071,133.16646327935115
23|0.0020800761362385067,0.006625417464980243,218.51802679498442
24|0.0016709169183215522,0.00734666240072368,339.6784974864851
25|0.0013041458136642259,0.008007442381330332,513.9990097297496
26|0.0009836129091906898,0.008563521214332126,770.619034613742
27|0.0007090214912617299,0.008971532026264883,1165.3399278912846
28|0.000477710098387929,0.009196210717876796,1825.060983410262
29|0.00028673844506088564,0.009217399691309303,3114.567090699014
30|0.00013082373447081963,0.009033832103508388,6805.346449595042
31|4.650283345064565e-06,0.008666064592236955,186255.6250058271
32|9.54074286809714e-05,0.008148554356361193,8440.796528128618
33|0.0001721561987637621,0.007526978396083184,4272.179712455158
34|0.00023154918814372039,0.006847530300645666,2857.26811030556
35|0.00027543351285563844,0.006150749661083421,2133.1159332478114
36|0.00030539604671542264,0.005470129819542757,1691.1593415745788
37|0.00032506165046353175,0.004828032944658389,1385.266852541266
38|0.00033636005464909857,0.004238350566075022,1160.0635858787107
39|0.0003403549559495289,0.0037078185629826343,989.3975533978901
40|0.0003385238843995886,0.0032374345398316073,856.338589099429
41|0.0003319708881641681,0.002825129763132317,751.017322258456
42|0.00032151991997508844,0.002466397935797504,667.1057942501983
