OneBody2_E-0.20_ecc0.8_EU1.txt
initial value : [x, y, v_x, v_y] = [0.50,0.00,0.00,1.90] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,0.500000,0.000000,0.000000,0.000000
  2|0.075749,0.500000,0.037947,0.000638,0.127450
  3|0.151235,0.497602,0.075834,0.004947,0.984384
  4|0.226459,0.493609,0.113733,0.012130,2.398552
  5|0.301421,0.487997,0.151715,0.022226,4.356180
  6|0.376112,0.480733,0.189847,0.035299,6.840412
  7|0.450519,0.471765,0.228190,0.051437,9.831175
  8|0.524616,0.461031,0.266802,0.070754,13.305006
  9|0.598368,0.448455,0.305731,0.093385,17.234860
 10|0.671723,0.433951,0.345017,0.119487,21.589935
 11|0.744616,0.417420,0.384691,0.149231,26.335564
 12|0.816969,0.398761,0.424769,0.182805,31.433208
 13|0.888685,0.377862,0.465255,0.220405,36.840591
 14|0.959655,0.354611,0.506139,0.262232,42.512011
 15|1.029755,0.328897,0.547390,0.308486,48.398852
 16|1.098852,0.300615,0.588962,0.359357,54.450311
 17|1.166804,0.269668,0.630791,0.415017,60.614317
 18|1.233465,0.235973,0.672791,0.475616,66.838616
 19|1.298690,0.199466,0.714861,0.541270,73.071967
 20|1.362338,0.160105,0.756883,0.612055,79.265365
 21|1.424277,0.117874,0.798726,0.688003,85.373222
 22|1.484388,0.072785,0.840248,0.769091,91.354398
 23|1.542572,0.024881,0.881299,0.855249,97.173032
 24|1.598745,-0.025768,0.921729,0.894813,97.200904
 25|1.652849,-0.079062,0.961387,0.884091,91.791330
 26|1.704846,-0.134876,1.000128,0.872871,86.616080
 27|1.754722,-0.193063,1.037818,0.861187,81.687173
 28|1.802480,-0.253457,1.074331,0.849070,77.011296
 29|1.848147,-0.315878,1.109558,0.836560,72.590432
 30|1.891763,-0.380139,1.143403,0.823693,68.422569
 31|1.933384,-0.446046,1.175786,0.810508,64.502439
 32|1.973075,-0.513405,1.206644,0.797045,60.822232
 33|2.010911,-0.582023,1.235927,0.783339,57.372261
 34|2.046972,-0.651714,1.263601,0.769428,54.141542
 35|2.081342,-0.722298,1.289644,0.755347,51.118295
 36|2.114108,-0.793605,1.314046,0.741128,48.290349
 37|2.145355,-0.865474,1.336807,0.726802,45.645470
 38|2.175168,-0.937756,1.357937,0.712398,43.171605
 39|2.203630,-1.010311,1.377450,0.697942,40.857065
 40|2.230822,-1.083012,1.395372,0.683459,38.690654
 41|2.256819,-1.155741,1.411728,0.668972,36.661749
 42|2.281695,-1.228393,1.426551,0.654500,34.760352
 43|2.305520,-1.300869,1.439875,0.640063,32.977106
 44|2.328357,-1.373083,1.451739,0.625678,31.303298
 45|2.350270,-1.444955,1.462180,0.611360,29.730848
 46|2.371314,-1.516414,1.471239,0.597122,28.252281
 47|2.391545,-1.587396,1.478955,0.582978,26.860703
 48|2.411011,-1.657845,1.485370,0.568938,25.549762
 49|2.429761,-1.727708,1.490525,0.555012,24.313615
 50|2.447838,-1.796941,1.494459,0.541209,23.146892
 51|2.465282,-1.865504,1.497213,0.527538,22.044659
 52|2.482131,-1.933360,1.498824,0.514005,21.002386
 53|2.498420,-2.000478,1.499332,0.500617,20.015911
 54|2.514183,-2.066830,1.498773,0.487379,19.081414
 55|2.529449,-2.132391,1.497184,0.474297,18.195382
 56|2.544247,-2.197140,1.494599,0.461374,17.354588
 57|2.558603,-2.261058,1.491053,0.448615,16.556063
 58|2.572543,-2.324127,1.486578,0.436023,15.797077
 59|2.586089,-2.386334,1.481206,0.423601,15.075113
 60|2.599262,-2.447666,1.474968,0.411351,14.387853
 61|2.612083,-2.508113,1.467894,0.399276,13.733158
 62|2.624570,-2.567665,1.460012,0.387378,13.109054
 63|2.636742,-2.626315,1.451349,0.375658,12.513718
 64|2.648613,-2.684055,1.441933,0.364118,11.945463
 65|2.660200,-2.740881,1.431789,0.352759,11.402728
 66|2.671516,-2.796788,1.420941,0.341582,10.884066
 67|2.682577,-2.851773,1.409414,0.330588,10.388138
 68|2.693393,-2.905832,1.397231,0.319777,9.913698
 69|2.703977,-2.958964,1.384412,0.309150,9.459591
 70|2.714341,-3.011167,1.370981,0.298708,9.024742
 71|2.724494,-3.062441,1.356957,0.288450,8.608151
 72|2.734448,-3.112784,1.342360,0.278376,8.208886
 73|2.744210,-3.162197,1.327210,0.268488,7.826081
 74|2.753791,-3.210680,1.311524,0.258785,7.458924
 75|2.763197,-3.258233,1.295321,0.249266,7.106660
 76|2.772439,-3.304859,1.278618,0.239932,6.768583
 77|2.781522,-3.350557,1.261431,0.230783,6.444031
 78|2.790454,-3.395331,1.243777,0.221818,6.132387
 79|2.799241,-3.439180,1.225672,0.213036,5.833072
 80|2.807891,-3.482107,1.207129,0.204439,5.545543
 81|2.816409,-3.524114,1.188164,0.196025,5.269293
 82|2.824801,-3.565204,1.168791,0.187794,5.003843
 83|2.833072,-3.605377,1.149024,0.179746,4.748745
 84|2.841228,-3.644637,1.128876,0.171880,4.503579
 85|2.849273,-3.682985,1.108359,0.164196,4.267949
 86|2.857213,-3.720425,1.087486,0.156693,4.041482
 87|2.865053,-3.756958,1.066270,0.149371,3.823830
 88|2.872795,-3.792587,1.044721,0.142230,3.614661
 89|2.880445,-3.827314,1.022852,0.135269,3.413666
 90|2.888007,-3.861142,1.000674,0.128488,3.220552
 91|2.895484,-3.894074,0.978197,0.121886,3.035045
 92|2.902879,-3.926110,0.955432,0.115463,2.856883
 93|2.910198,-3.957255,0.932389,0.109218,2.685823
 94|2.917442,-3.987510,0.909078,0.103151,2.521633
 95|2.924616,-4.016877,0.885509,0.097262,2.364095
 96|2.931722,-4.045359,0.861691,0.091550,2.213005
 97|2.938763,-4.072959,0.837634,0.086015,2.068167
 98|2.945743,-4.099677,0.813347,0.080655,1.929400
 99|2.952664,-4.125517,0.788838,0.075472,1.796531
100|2.959528,-4.150480,0.764117,0.070464,1.669396
101|2.966339,-4.174569,0.739192,0.065632,1.547844
102|2.973099,-4.197784,0.714070,0.060974,1.431729
103|2.979811,-4.220129,0.688761,0.056491,1.320915
104|2.986476,-4.241605,0.663272,0.052181,1.215274
105|2.993098,-4.262214,0.637612,0.048046,1.114686
106|2.999678,-4.281957,0.611787,0.044084,1.019036
107|3.006218,-4.300835,0.585805,0.040295,0.928219
108|3.012722,-4.318851,0.559674,0.036679,0.842134
109|3.019191,-4.336005,0.533401,0.033236,0.760688
110|3.025627,-4.352300,0.506994,0.029966,0.683794
111|3.032031,-4.367735,0.480459,0.026867,0.611368
112|3.038407,-4.382313,0.453804,0.023941,0.543336
113|3.044756,-4.396034,0.427034,0.021186,0.479627
114|3.051079,-4.408900,0.400158,0.018603,0.420173
115|3.057379,-4.420911,0.373182,0.016192,0.364916
116|3.063658,-4.432067,0.346113,0.013952,0.313799
117|3.069917,-4.442370,0.318956,0.011883,0.266772
118|3.076158,-4.451821,0.291719,0.009985,0.223786
119|3.082383,-4.460419,0.264409,0.008258,0.184801
120|3.088593,-4.468164,0.237031,0.006702,0.149779
121|3.094791,-4.475059,0.209592,0.005318,0.118687
122|3.100978,-4.481101,0.182098,0.004104,0.091494
123|3.107155,-4.486292,0.154556,0.003061,0.068177
124|3.113325,-4.490632,0.126972,0.002189,0.048714
125|3.119489,-4.494120,0.099352,0.001487,0.033088
126|3.125649,-4.496756,0.071702,0.000957,0.021285
127|3.131806,-4.498540,0.044029,0.000598,0.013298
128|3.137961,-4.499471,0.016339,0.000410,0.009120
129|3.144118,-4.499549,-0.011363,0.000394,0.008750
130|3.150277,-4.498773,-0.039069,0.000549,0.012192
131|3.156440,-4.497142,-0.066774,0.000875,0.019452
132|3.162608,-4.494656,-0.094472,0.001373,0.030540
133|3.168784,-4.491313,-0.122155,0.002043,0.045471
134|3.174969,-4.487112,-0.149819,0.002885,0.064263
135|3.181165,-4.482052,-0.177457,0.003900,0.086941
136|3.187373,-4.476132,-0.205062,0.005087,0.113529
137|3.193595,-4.469350,-0.232628,0.006448,0.144061
138|3.199834,-4.461704,-0.260149,0.007982,0.178570
139|3.206090,-4.453194,-0.287618,0.009689,0.217098
140|3.212366,-4.443816,-0.315029,0.011570,0.259689
141|3.218663,-4.433569,-0.342375,0.013626,0.306391
142|3.224984,-4.422451,-0.369650,0.015856,0.357260
143|3.231330,-4.410459,-0.396847,0.018262,0.412355
144|3.237703,-4.397592,-0.423959,0.020843,0.471739
145|3.244105,-4.383846,-0.450979,0.023601,0.535482
146|3.250538,-4.369220,-0.477900,0.026535,0.603659
147|3.257005,-4.353709,-0.504716,0.029647,0.676353
148|3.263508,-4.337312,-0.531419,0.032936,0.753648
149|3.270048,-4.320026,-0.558001,0.036404,0.835640
150|3.276628,-4.301846,-0.584456,0.040051,0.922428
151|3.283250,-4.282770,-0.610775,0.043877,1.014118
152|3.289917,-4.262794,-0.636952,0.047884,1.110826
153|3.296630,-4.241914,-0.662978,0.052072,1.212673
154|3.303394,-4.220128,-0.688844,0.056442,1.319788
155|3.310210,-4.197430,-0.714544,0.060994,1.432311
156|3.317081,-4.173817,-0.740068,0.065729,1.550389
157|3.324010,-4.149284,-0.765408,0.070649,1.674178
158|3.330999,-4.123828,-0.790555,0.075754,1.803845
159|3.338052,-4.097443,-0.815501,0.081045,1.939568
160|3.345172,-4.070125,-0.840234,0.086522,2.081536
161|3.352363,-4.041868,-0.864748,0.092187,2.229950
162|3.359626,-4.012669,-0.889030,0.098041,2.385022
163|3.366968,-3.982521,-0.913072,0.104085,2.546980
164|3.374389,-3.951419,-0.936863,0.110320,2.716067
165|3.381896,-3.919358,-0.960392,0.116746,2.892538
166|3.389491,-3.886332,-0.983649,0.123365,3.076668
167|3.397179,-3.852336,-1.006621,0.130178,3.268748
168|3.404965,-3.817362,-1.029298,0.137187,3.469089
169|3.412853,-3.781406,-1.051666,0.144392,3.678022
170|3.420847,-3.744461,-1.073714,0.151794,3.895899
171|3.428954,-3.706520,-1.095428,0.159395,4.123096
172|3.437177,-3.667577,-1.116796,0.167197,4.360017
173|3.445524,-3.627625,-1.137802,0.175200,4.607089
174|3.454000,-3.586657,-1.158433,0.183405,4.864772
175|3.462611,-3.544667,-1.178673,0.191814,5.133556
176|3.471364,-3.501646,-1.198507,0.200429,5.413967
177|3.480266,-3.457589,-1.217918,0.209251,5.706567
178|3.489324,-3.412487,-1.236890,0.218280,6.011960
179|3.498547,-3.366333,-1.255405,0.227519,6.330794
180|3.507942,-3.319121,-1.273444,0.236969,6.663765
181|3.517518,-3.270841,-1.290988,0.246632,7.011620
182|3.527286,-3.221488,-1.308018,0.256508,7.375165
183|3.537254,-3.171054,-1.324513,0.266599,7.755268
184|3.547434,-3.119530,-1.340449,0.276907,8.152864
185|3.557837,-3.066910,-1.355806,0.287432,8.568965
186|3.568475,-3.013187,-1.370558,0.298177,9.004664
187|3.579362,-2.958354,-1.384681,0.309142,9.461142
188|3.590510,-2.902404,-1.398148,0.320329,9.939683
189|3.601936,-2.845330,-1.410932,0.331739,10.441677
190|3.613655,-2.787127,-1.423004,0.343373,10.968637
191|3.625684,-2.727788,-1.434333,0.355232,11.522207
192|3.638043,-2.667309,-1.444888,0.367317,12.104180
193|3.650751,-2.605686,-1.454635,0.379628,12.716512
194|3.663829,-2.542915,-1.463538,0.392166,13.361340
195|3.677302,-2.478993,-1.471561,0.404932,14.041004
196|3.691195,-2.413919,-1.478665,0.417926,14.758067
197|3.705534,-2.347693,-1.484808,0.431147,15.515345
198|3.720351,-2.280317,-1.489948,0.444595,16.315931
199|3.735676,-2.211794,-1.494037,0.458269,17.163232
200|3.751547,-2.142130,-1.497029,0.472169,18.061009
201|3.768001,-2.071332,-1.498873,0.486291,19.013411
202|3.785080,-1.999412,-1.499515,0.500635,20.025032
203|3.802830,-1.926384,-1.498899,0.515197,21.100962
204|3.821302,-1.852267,-1.496967,0.529973,22.246847
205|3.840551,-1.777083,-1.493655,0.544959,23.468965
206|3.860638,-1.700861,-1.488900,0.560150,24.774296
207|3.881629,-1.623636,-1.482633,0.575537,26.170619
208|3.903598,-1.545448,-1.474783,0.591114,27.666606
209|3.926625,-1.466346,-1.465275,0.606871,29.271934
210|3.950800,-1.386391,-1.454033,0.622796,30.997406
211|3.976221,-1.305651,-1.440978,0.638876,32.855079
212|4.002995,-1.224208,-1.426026,0.655095,34.858410
213|4.031242,-1.142157,-1.409097,0.671436,37.022395
214|4.061092,-1.059611,-1.390104,0.687876,39.363715
215|4.092688,-0.976699,-1.368966,0.704391,41.900870
216|4.126188,-0.893570,-1.345601,0.720954,44.654285
217|4.161762,-0.810396,-1.319931,0.737531,47.646369
218|4.199594,-0.727375,-1.291885,0.754086,50.901498
219|4.239883,-0.644731,-1.261401,0.770576,54.445868
220|4.282838,-0.562715,-1.228429,0.786954,58.307170
221|4.328681,-0.481611,-1.192938,0.803165,62.514004
222|4.377635,-0.401733,-1.154917,0.819152,67.094944
223|4.429925,-0.323422,-1.114387,0.834847,72.077148
224|4.485766,-0.247047,-1.071398,0.850180,77.484416
225|4.545352,-0.172999,-1.026043,0.865074,83.334627
226|4.608843,-0.101679,-0.978459,0.879449,89.636547
227|4.676348,-0.033490,-0.928832,0.893224,96.386145
228|4.747909,0.031179,-0.877395,0.843959,96.437300
229|4.823485,0.091970,-0.824432,0.734709,88.874767
230|4.902940,0.148577,-0.770263,0.632998,80.990050
231|4.986040,0.200761,-0.715235,0.539250,72.870524
232|5.072453,0.248365,-0.659709,0.453736,64.625501
233|5.161770,0.291321,-0.604034,0.376569,56.381934
234|5.253524,0.329653,-0.548532,0.307701,48.277826
235|5.347222,0.363469,-0.493480,0.246934,40.454283
236|5.442375,0.392943,-0.439095,0.193955,33.047474
237|5.538528,0.418298,-0.385531,0.148361,26.181737
238|5.635280,0.439787,-0.332876,0.109704,19.964702
239|5.732297,0.457669,-0.281159,0.077521,14.484711
240|5.829316,0.472196,-0.230354,0.051363,9.810334
241|5.926142,0.483598,-0.180397,0.030821,5.991452
242|6.022640,0.492075,-0.131190,0.015539,3.061263
243|6.118728,0.497792,-0.082612,0.005225,1.038647
244|6.214361,0.500875,-0.034527,0.000348,0.069548
245|0.026336,0.501410,0.013208,0.001333,0.266568
  1|0.000000,0.500000,0.000000,0.000000,0.000000
  2|0.075749,0.500000,0.037947,0.000638,0.127450
  3|0.151235,0.497602,0.075834,0.004947,0.984384
  4|0.226083,0.493622,0.113540,0.012098,2.392224
  5|0.299936,0.488093,0.150951,0.022029,4.318324
  6|0.372473,0.481066,0.187958,0.034650,6.718866
  7|0.443406,0.472604,0.224463,0.049851,9.541607
  8|0.512496,0.462781,0.260379,0.067499,12.728885
  9|0.579547,0.451677,0.295632,0.087449,16.220587
 10|0.644411,0.439379,0.330159,0.109548,19.956807
 11|0.706986,0.425976,0.363912,0.133635,23.880050
 12|0.767207,0.411559,0.396851,0.159550,27.936878
 13|0.825048,0.396216,0.428951,0.187132,32.079014
 14|0.880513,0.380034,0.460194,0.216228,36.263947
 15|0.933631,0.363095,0.490571,0.246688,40.455114
 16|0.984452,0.345477,0.520081,0.278373,44.621783
 17|1.033040,0.327254,0.548729,0.311149,48.738700
 18|1.079471,0.308493,0.576524,0.344895,52.785599
 19|1.123831,0.289259,0.603481,0.379496,56.746653
 20|1.166209,0.269608,0.629615,0.414848,60.609885
 21|1.206696,0.249594,0.654947,0.450856,64.366608
 22|1.245386,0.229266,0.679498,0.487433,68.010893
 23|1.282371,0.208665,0.703290,0.524500,71.539093
 24|1.317739,0.187834,0.726346,0.561984,74.949419
 25|1.351579,0.166806,0.748689,0.599822,78.241571
 26|1.383974,0.145615,0.770344,0.637954,81.416429
 27|1.415005,0.124290,0.791334,0.676330,84.475784
 28|1.444748,0.102856,0.811683,0.714900,87.422123
 29|1.473275,0.081338,0.831412,0.753624,90.258447
 30|1.500655,0.059757,0.850544,0.792462,92.988123
 31|1.526951,0.038130,0.869101,0.831381,95.614765
 32|1.552226,0.016476,0.887104,0.870350,98.142141
 33|1.576535,-0.005191,0.904573,0.898960,99.425907
 34|1.599931,-0.026856,0.921527,0.894618,97.085516
 35|1.622466,-0.048509,0.937986,0.890280,94.832853
 36|1.644186,-0.070137,0.953967,0.885946,92.664147
 37|1.665134,-0.091731,0.969487,0.881619,90.575716
 38|1.685352,-0.113283,0.984564,0.877300,88.563984
 39|1.704878,-0.134785,0.999212,0.872991,86.625497
 40|1.723749,-0.156230,1.013447,0.868694,84.756931
 41|1.741998,-0.177611,1.027284,0.864409,82.955095
 42|1.759656,-0.198924,1.040737,0.860138,81.216933
 43|1.776754,-0.220164,1.053818,0.855881,79.539530
 44|1.793319,-0.241326,1.066540,0.851640,77.920104
 45|1.809377,-0.262406,1.078916,0.847415,76.356006
 46|1.824952,-0.283402,1.090957,0.843208,74.844715
 47|1.840068,-0.304310,1.102674,0.839017,73.383838
 48|1.854746,-0.325127,1.114078,0.834845,71.971101
 49|1.869006,-0.345853,1.125179,0.830691,70.604344
 50|1.882867,-0.366484,1.135987,0.826556,69.281518
 51|1.896348,-0.387018,1.146510,0.822440,68.000681
 52|1.909465,-0.407456,1.156758,0.818343,66.759990
 53|1.922234,-0.427795,1.166739,0.814267,65.557695
 54|1.934670,-0.448034,1.176462,0.810210,64.392140
 55|1.946787,-0.468172,1.185934,0.806173,63.261752
 56|1.958598,-0.488210,1.195163,0.802157,62.165039
 57|1.970117,-0.508145,1.204155,0.798161,61.100585
 58|1.981356,-0.527979,1.212919,0.794185,60.067049
 59|1.992324,-0.547711,1.221459,0.790230,59.063156
 60|2.003034,-0.567339,1.229784,0.786295,58.087694
 61|2.013496,-0.586866,1.237898,0.782381,57.139516
 62|2.023718,-0.606290,1.245807,0.778487,56.217529
 63|2.033711,-0.625611,1.253518,0.774614,55.320695
 64|2.043482,-0.644830,1.261036,0.770762,54.448029
 65|2.053040,-0.663947,1.268365,0.766930,53.598592
 66|2.062394,-0.682962,1.275512,0.763118,52.771492
 67|2.071549,-0.701876,1.282479,0.759326,51.965879
 68|2.080514,-0.720688,1.289274,0.755555,51.180946
 69|2.089295,-0.739400,1.295898,0.751804,50.415921
 70|2.097898,-0.758012,1.302358,0.748074,49.670072
 71|2.106330,-0.776524,1.308657,0.744363,48.942697
 72|2.114596,-0.794936,1.314800,0.740672,48.233132
 73|2.122702,-0.813250,1.320789,0.737001,47.540738
