result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.60_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|3.999003081212038e-05,nan,nan
2|5.998805424045628e-05,1.6085829576795163e-05,73.18494526874187
3|7.998752289140043e-05,1.5381364743660697e-05,80.77029493144315
4|9.998824197587908e-05,1.5095082741112265e-05,84.9031421667022
5|0.0001199598438574867,1.4937895077338226e-05,87.54758709499107
6|0.0001399227325267205,1.4835914535993311e-05,89.39706631789788
7|0.00015993796875601873,1.4764752473084286e-05,90.76845067626967
8|0.00017984672134740975,1.4720847953952898e-05,91.81478102927623
9|0.00019981412400671417,1.4675476512238106e-05,92.65543585310067
10|0.0002197247273203473,1.4646908438109563e-05,93.33397355102636
11|0.0002396251229450641,1.462131582030679e-05,93.89825422284339
12|0.0002593851150045623,1.4596737381467051e-05,94.37256167100787
13|0.00027922363135157724,1.4570132929492274e-05,94.7819126701541
14|0.00030057293763707804,1.4554484796036604e-05,95.15775275363939
15|0.00032022430720246575,1.4589794492536612e-05,95.44388287697598
16|0.00033989143923385257,1.4565807056499125e-05,95.71457077903115
17|0.00035944755973904563,1.4549422671095158e-05,95.95228225178164
18|0.00037887991087970363,1.4530248652278033e-05,96.1649461385955
19|0.0003999232785902862,1.4508037983418376e-05,96.37229469748331
20|0.00041913101215840243,1.4530593826833638e-05,96.53316185027558
21|0.00043994454035267694,1.4505906856143724e-05,96.7027873912209
22|0.0004590102735120283,1.4523711058700428e-05,96.83586361856891
23|0.0004793841592061199,1.4499218712771267e-05,96.9754489308152
24|0.0004996344470749037,1.4500017350371763e-05,97.0978747691914
25|0.0005182959308838164,1.4502206267863471e-05,97.20194479568192
26|0.0005383610501894509,1.4478334307455043e-05,97.31066459909013
27|0.0005579433006746015,1.4476891935899516e-05,97.40531127116398
28|0.0005793248057370803,1.446483264722076e-05,97.50315669138023
29|0.0005985244437018977,1.4492524732290235e-05,97.57862441796806
30|0.0006177907567836982,1.4473207038179225e-05,97.65726390703405
31|0.0006382474317696563,1.446452605868842e-05,97.73371182731078
32|0.0006585295172181205,1.4471035093777118e-05,97.80252293702668
33|0.00067661864206503,1.4475522680967856e-05,97.86060835734753
34|0.0006978548621425773,1.4445931270756773e-05,97.92995190627398
35|0.00071712727848805,1.4462684445604168e-05,97.98324720318875
36|0.0007361929107876364,1.44542289550742e-05,98.03662481079722
37|0.0007561557177329092,1.4444327151252878e-05,98.08976817704169
38|0.0007758828265123086,1.4442650964952009e-05,98.13855256600104
39|0.0007953734246681776,1.4440297402273927e-05,98.18446317736876
40|0.0008160027323427244,1.4435855481664817e-05,98.23090598726063
41|0.0008342730802199938,1.4445945836882856e-05,98.26843917424813
42|0.0008541766395371297,1.44242993798116e-05,98.31132125228477
43|0.0008746252870048821,1.4427217324808339e-05,98.35046876197535
44|0.000893541419422661,1.4432180956092111e-05,98.38483357991204
45|0.0009131775169493039,1.4427061927335671e-05,98.42012514986868
46|0.0009338500222284551,1.4424296072235165e-05,98.45539479264407
47|0.0009523922944421059,1.443296423175866e-05,98.48455680332722
48|0.0009719416602331776,1.442023666697878e-05,98.51634750757373
49|0.0009922316373982554,1.4416909907666309e-05,98.54702174731406
50|0.0010119145607552227,1.4421352487303807e-05,98.57484484890298
51|0.001030977658939669,1.4420332206555031e-05,98.60129537419986
52|0.0010494084335288534,1.4414057067924091e-05,98.62645881170843
53|0.0010704705916628754,1.4400995068442057e-05,98.6547042786041
54|0.0010888934034269937,1.4418629222134882e-05,98.6758456634271
55|0.0011083465390235858,1.440524867923898e-05,98.70029380053558
56|0.0011279601502343084,1.4406107865738704e-05,98.72281765780944
57|0.0011472855785203961,1.440257760165764e-05,98.74463883523822
58|0.0011671564891990727,1.44015730825231e-05,98.76609750142367
59|0.0011859829268807687,1.4403932809159414e-05,98.78548565222242
60|0.0012057612734484024,1.4396515949144373e-05,98.80602269568907
61|0.001223989140604509,1.4401797699292729e-05,98.82337210179986
62|0.0012431299009474372,1.4387437897056543e-05,98.8426440482132
63|0.0012630118277874303,1.438671739073527e-05,98.860919820843
64|0.0012819135998149989,1.4388874667758955e-05,98.87754723330531
65|0.0013003748792774772,1.4386951432854289e-05,98.89363047055723
66|0.0013200088890350514,1.4375838972569e-05,98.91092862389146
67|0.001340151745687912,1.437658273673037e-05,98.92724217365767
68|0.0013590561767893306,1.438573422340994e-05,98.94149083245439
69|0.0013779009626171401,1.4383105575888067e-05,98.95615824604917
70|0.0013969966537583645,1.437865690334661e-05,98.97074507196109
71|0.0014149613108704884,1.4373103956799582e-05,98.98420516190954
72|0.0014348675119935095,1.4363061879407724e-05,98.99899734579309
73|0.0014534172367586251,1.437080988608841e-05,99.01123988881969
74|0.0014717597081110867,1.436656080322507e-05,99.02385146678165
75|0.0014919679391161011,1.4357850552926266e-05,99.03765689754484
76|0.0015107456299414679,1.4365792928572318e-05,99.04909253789278
77|0.00152942930145894,1.4360004318092479e-05,99.06108740662977
78|0.0015483777097458074,1.4356751622202069e-05,99.07278750321464
79|0.0015669715532808937,1.4358211821274836e-05,99.08369671477367
80|0.001585784641055632,1.4354380722281235e-05,99.09480894500746
81|0.0016041833356794655,1.4354925456316892e-05,99.10515680240272
82|0.0016227569750713045,1.4349860251172686e-05,99.11571107247639
83|0.0016419708328028193,1.4347193264541147e-05,99.12622118627706
84|0.0016597809112184336,1.434512823550449e-05,99.135721579966
85|0.001678800619330012,1.4336410252724363e-05,99.14603258495069
86|0.0016979034000268456,1.4337493265514922e-05,99.15557662083201
87|0.0017159829739545884,1.4340428844406006e-05,99.16430238166305
88|0.001734095917878875,1.4334464465193264e-05,99.17337534115605
89|0.0017533050067362055,1.4329986212757717e-05,99.18268720173035
90|0.001771381146489226,1.433277301110536e-05,99.19087018400799
91|0.0017901110561799882,1.4326205844739093e-05,99.1997029572394
92|0.001807199620118105,1.4329188113393343e-05,99.20710540474455
93|0.0018257147014244524,1.4320186528138379e-05,99.21563941414475
94|0.0018440017494611993,1.431822044573039e-05,99.22352457366627
95|0.0018628701800436076,1.4311698841140696e-05,99.23173933457855
96|0.0018799311126267426,1.431413983787877e-05,99.23858168303421
97|0.0018990492135460002,1.4304049528846008e-05,99.24677836536227
98|0.0019177829843401994,1.4309928971556474e-05,99.2538295996781
99|0.0019353264640340484,1.4307405017177643e-05,99.26072395107155
100|0.001952620135643457,1.430197629481711e-05,99.26754948216777
101|0.001971652287989123,1.4294811329307322e-05,99.2749831490883
102|0.001989399218598642,1.4295574313649695e-05,99.28141248976061
103|0.0020068288799057754,1.429310217559987e-05,99.2877767347921
104|0.0020253866756902994,1.4287041434357661e-05,99.29460178612618
105|0.0020430686749337568,1.4287368589549487e-05,99.30069073228717
106|0.0020608213493300553,1.4283250385105362e-05,99.30691467313513
107|0.0020776463617293572,1.428069649733743e-05,99.31265027771855
108|0.002096250271547362,1.4271871425108884e-05,99.31917139767027
109|0.002114525402602041,1.4278141719614723e-05,99.32475903566613
110|0.0021312561184476664,1.4276341442354124e-05,99.33014426005484
111|0.0021501914130954702,1.4267175593829506e-05,99.33646951118226
112|0.0021666792766641407,1.427337583415067e-05,99.34123264167984
113|0.002185309014953951,1.4262178813950754e-05,99.34736100403396
114|0.0022017238877252154,1.4264413087161643e-05,99.3521252520951
115|0.002219907616825445,1.425820188671878e-05,99.35771192554812
116|0.00223726003680369,1.4257198005296345e-05,99.36273844922984
117|0.0022551795483343184,1.4252218457855292e-05,99.3680228934152
118|0.00227186920703204,1.4255252740014157e-05,99.37253197957477
119|0.002288503585710089,1.4244968514987022e-05,99.37754222436287
