result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.90_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|0.0007594539494875097,nan,nan
2|0.0011381455697279108,4.166979133657378e-05,96.33879949587332
3|0.001515680492291116,3.9857542315502315e-05,97.37032029387319
4|0.001893239353253362,3.914150185124754e-05,97.93256453369267
5|0.002268604006352204,3.879834605058363e-05,98.28977001089893
6|0.0026412534814241884,3.860123572252405e-05,98.53852589333039
7|0.003012513723781085,3.848718158394604e-05,98.72242302897662
8|0.003381176718923129,3.843973708228532e-05,98.86312546554716
9|0.0037475492345160344,3.8431593274879106e-05,98.97448730170339
10|0.0041117170135243075,3.845820393166832e-05,99.06466802542171
11|0.0044713150437807325,3.851401486443251e-05,99.13864233480925
12|0.004829422951874829,3.858299686498867e-05,99.20108474139731
13|0.0051823000740751635,3.8680514567346336e-05,99.25360334186651
14|0.005530564972003438,3.878372725196755e-05,99.29873842096971
15|0.005876386767763586,3.8901508606414836e-05,99.33800292350023
16|0.0062170424452154815,3.903952449846315e-05,99.37205632995948
17|0.006553108375868755,3.918565820981712e-05,99.40202944980867
18|0.006884213478372647,3.934382938908243e-05,99.42849202000076
19|0.007208978467983629,3.951260671186674e-05,99.45189728492949
20|0.007529344982910802,3.968541114574009e-05,99.47292345833783
21|0.007844931977745162,3.987031444196987e-05,99.49176978774226
22|0.00815183779583517,4.0068315360741735e-05,99.50847506581628
23|0.008455687791070199,4.026304845439199e-05,99.52383473173036
24|0.008751606617051877,4.0475528578554076e-05,99.53750745034985
25|0.009041685783416131,4.06870525395675e-05,99.55000590029135
26|0.00932528855249326,4.0908688912821844e-05,99.56131449785664
27|0.009601896941191734,4.113393161375711e-05,99.5716061954665
28|0.009870561119838417,4.1364096933449446e-05,99.58093469630299
29|0.01013234717656819,4.1595453716070097e-05,99.58947859769094
30|0.010386510014888772,4.1830127880615464e-05,99.59726483851983
31|0.01063242791203578,4.2067082862473626e-05,99.60435111142532
32|0.010872694255443571,4.230557227913323e-05,99.6109007456183
33|0.011102910578673741,4.254942338377532e-05,99.61677234917569
34|0.011326561458721462,4.2791226661620385e-05,99.62220461331033
35|0.011542386793376158,4.3034306226985564e-05,99.62716284770771
36|0.011748626493129466,4.3277155189258565e-05,99.63164072656011
37|0.011948639193585908,4.351751382714042e-05,99.63579523055228
38|0.01213831085262651,4.376168377717704e-05,99.63947468219841
39|0.012320792224367327,4.3998085708096824e-05,99.64289564415282
40|0.012493346166813302,4.4237694659443605e-05,99.64590995823878
41|0.012659681359647124,4.446984083017469e-05,99.64872859302824
42|0.012816620487148267,4.47031916337437e-05,99.65120921167504
43|0.012964355389738724,4.4931924620073005e-05,99.65341952400011
44|0.01310381621991108,4.5154946199943424e-05,99.65540613938609
45|0.013235855284369658,4.5374275675413855e-05,99.65718667437383
46|0.013359901067571789,4.5591435586800344e-05,99.65874421257907
47|0.013473175252033176,4.5805713291713346e-05,99.66002287927783
48|0.013579305924264151,4.600723675096674e-05,99.66119596238893
49|0.013678048335741488,4.620634823027103e-05,99.6621861021683
50|0.013766889137501792,4.6403124457583544e-05,99.66293674631854
51|0.013848751385327374,4.6590032248161606e-05,99.6635795462577
52|0.013921699506282526,4.677407129349831e-05,99.66402039296717
53|0.01398755466743129,4.694919154957233e-05,99.66435025516726
54|0.014044533815959381,4.7116655313317324e-05,99.66451962072406
55|0.014094547982982375,4.7277277882784574e-05,99.66457045703156
56|0.014136984895073423,4.743334057977222e-05,99.66447342957619
57|0.01417250745735621,4.758050933517666e-05,99.66427599718439
58|0.014199314614058878,4.7725788956398674e-05,99.66388667162045
59|0.014218433189349344,4.785532893336608e-05,99.6634275500256
60|0.014231431275109063,4.7980999976715566e-05,99.66285190119538
61|0.01423653761089727,4.8100706266041016e-05,99.66213199037087
62|0.014236092489539942,4.8207050721060796e-05,99.66137442028786
63|0.014227367267138469,4.8312619387758104e-05,99.6604247400055
64|0.014212743569051778,4.840505352632363e-05,99.65942498511177
65|0.014192433308006569,4.8492554103773955e-05,99.65832107115546
66|0.014164539417266031,4.857130459257064e-05,99.65709224167668
67|0.01413128107111028,4.864343012300765e-05,99.65577480287719
68|0.014092062906678748,4.8706775757523246e-05,99.65436731243628
69|0.014045511433643076,4.8762484844644405e-05,99.65282513865715
70|0.013995609887147875,4.8809045377851135e-05,99.65125460218299
71|0.013939131520340542,4.885492150918935e-05,99.64951244316836
72|0.013877868868257037,4.8887296049571205e-05,99.64773196436961
73|0.013809442866005384,4.891456659805726e-05,99.64578899328032
74|0.013737427288069037,4.893239492176349e-05,99.64380233725232
75|0.013660682421837933,4.8941151657544424e-05,99.6417371391395
76|0.013578443731039558,4.8949339085169186e-05,99.63950700054622
77|0.013492084705879703,4.894497666185771e-05,99.63723191983424
78|0.013400411468682094,4.893670526939786e-05,99.63481192063567
79|0.01330563855542266,4.8920774887051266e-05,99.63233049895892
80|0.013204403522668606,4.889632820237466e-05,99.62969680441505
81|0.013100652502466836,4.886311486984596e-05,99.6270177011363
82|0.012993548543502875,4.8824797385549346e-05,99.6242381577128
83|0.012881205522530692,4.8786419139190684e-05,99.62125890271794
84|0.012766245966929546,4.873745111666494e-05,99.61823192782813
85|0.012647431838665568,4.868036033300882e-05,99.61509687536577
86|0.012525531530292344,4.861995565974553e-05,99.61183319412704
87|0.012400729171035074,4.85540542811691e-05,99.60845807039655
88|0.012272274973390562,4.8486399993663554e-05,99.60491106906589
89|0.012140501728854947,4.84060312508916e-05,99.60128475468322
90|0.012004506751152277,4.832448581737481e-05,99.59744713532078
91|0.011867139280606676,4.823004513809792e-05,99.59358322172122
92|0.011728279337492875,4.81362249828976e-05,99.58957129517698
93|0.011584192535786464,4.804280798609284e-05,99.58527270815227
94|0.011439912940372388,4.793454964513444e-05,99.58098851018377
95|0.01129153639483782,4.783217874582135e-05,99.57638910177282
96|0.011141518467205014,4.7716034684341935e-05,99.57172772432416
97|0.010989014619880333,4.759769665696467e-05,99.56686110353466
98|0.010833778832302965,4.747597623477873e-05,99.56177824035673
99|0.01067930440107423,4.7349920732742135e-05,99.55661980448859
100|0.010518885733022731,4.722379110688735e-05,99.55105709572798
101|0.010358701641147494,4.7085343886976716e-05,99.54545129768057
102|0.010197740042309889,4.6949546943508835e-05,99.53960831763982
103|0.010035250152654385,4.6808397037523264e-05,99.53356023691006
104|0.00986904893670193,4.66714863751605e-05,99.52709236042396
105|0.00970288689230836,4.651967778634969e-05,99.52055838326605
106|0.009533347795340763,4.637205288382518e-05,99.51358060275018
107|0.009365149484898083,4.621474738719655e-05,99.50652418883735
108|0.009193893002227949,4.606319753364119e-05,99.49898049147974
109|0.009022285232707983,4.590334881093838e-05,99.49122259353398
110|0.008849341069791627,4.574208683649772e-05,99.48310177587523
111|0.008674057079419928,4.55820594194023e-05,99.47450127429354
112|0.008499640362993333,4.541129682600342e-05,99.46572684388248
113|0.008322283787622009,4.5248697730926324e-05,99.45629470364582
114|0.008144823484553587,4.5072428033421374e-05,99.44661258627765
115|0.007966392312655834,4.4904705044146453e-05,99.43632320275253
116|0.007787315979589593,4.472902410945778e-05,99.42561693622434
117|0.007609139380561736,4.455234239841843e-05,99.41448907464842
118|0.007427558316382754,4.4384802206920426e-05,99.40243078120272
119|0.007245416936845217,4.4201535335020026e-05,99.38993800190792
120|0.007065328233439416,4.4023232341317e-05,99.37691171751993
121|0.006882471148267566,4.384581519900621e-05,99.36293499450349
122|0.006699254895246476,4.366653517529073e-05,99.3481881812517
123|0.0065164066519143304,4.348411575705313e-05,99.33269794106114
