result_new_OneBody2_E-0.05_ecc0.4_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|7.314208438025105e-06,nan,nan
2|8.407067149107661e-06,6.694397805873109e-06,20.371781417451118
3|8.241840182776627e-06,6.0187098380737325e-06,26.973713338298868
4|8.234507616222686e-06,5.504302427183916e-06,33.15565807067847
5|8.394031598690788e-06,5.239819765634479e-06,37.57684011516312
6|7.311835482859408e-06,5.086843984258849e-06,30.429999468894525
7|7.770076609681098e-06,4.8733891926389106e-06,37.2800367686603
8|8.40309197336353e-06,4.830882540218795e-06,42.51065494068223
9|7.773295615187692e-06,4.808790023957954e-06,38.1370494316156
10|7.29914252683983e-06,4.7176650603830694e-06,35.366859284694826
11|8.380926345807893e-06,4.65213010514276e-06,44.49145699186657
12|8.190648340011819e-06,4.671603642592004e-06,42.964177575895505
13|8.185118152148618e-06,4.632643758384347e-06,43.40162631411418
14|8.304286837734765e-06,4.606151996711105e-06,44.53284084816647
15|7.1789129698629495e-06,4.588027383789495e-06,36.090221415832495
16|7.608798570757358e-06,4.528006797954731e-06,40.489858473096284
17|8.195445809988655e-06,4.527117861030661e-06,44.760566221876736
18|7.497917247967223e-06,4.53040915182612e-06,39.577765371385375
19|8.431303118783262e-06,4.4950606881144495e-06,46.68605048607076
20|8.000526611873227e-06,4.513896589841693e-06,43.58000655678316
21|7.722199604209834e-06,4.4892085231396095e-06,41.866194177468905
22|7.68647154636426e-06,4.470647697374375e-06,41.83745206877122
23|7.720809318101374e-06,4.4650330650597425e-06,42.168846799628774
24|7.951887196711027e-06,4.4556017684271865e-06,43.96799579513573
25|8.24365779727998e-06,4.456674405517447e-06,45.9381440240285
26|7.3355617553616526e-06,4.453000700621601e-06,39.29570973392941
27|7.877447560034057e-06,4.429950998030563e-06,43.76413217263726
28|7.221660879963565e-06,4.4315506553260775e-06,38.635298320066845
29|8.122606709903835e-06,4.415156212189686e-06,45.64360469642931
30|7.716286155812213e-06,4.428222750263444e-06,42.61199415306895
31|7.344247908491752e-06,4.417029886738533e-06,39.85728774717201
32|7.177449051098961e-06,4.4010278870132424e-06,38.68256178928379
33|7.167872011493159e-06,4.3946770684755165e-06,38.68923633919561
34|7.452715167666213e-06,4.391416647209212e-06,41.07628497246909
35|7.605384009679028e-06,4.396772707693231e-06,42.18868235847582
36|7.912439917490133e-06,4.3947476040528954e-06,44.4577443888265
37|8.376048674207937e-06,4.39522320405672e-06,47.5262934229266
38|7.664846171984152e-06,4.397188673621599e-06,42.63174269962778
