result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.30_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|1.082266752394645e-05,nan,nan
2|1.6554892644293773e-05,9.063559165412016e-06,45.25147725113101
3|2.1201114234870033e-05,8.789104873230258e-06,58.544136992693595
4|2.6053405873582847e-05,8.351665481853843e-06,67.94405490637939
5|3.24107270195384e-05,8.165749976640768e-06,74.80540941979442
6|3.7695329810460976e-05,8.319222505548396e-06,77.93036286622515
7|4.189450312885867e-05,8.263957797183252e-06,80.27436255356686
8|4.759390685826759e-05,8.0762157104175e-06,83.03098811688629
9|5.3495183619745035e-05,8.113496333450598e-06,84.83322089120578
10|5.8317455551737396e-05,8.154700239515478e-06,86.01670775522625
11|6.337126067545995e-05,8.093029491007542e-06,87.22918022342341
12|6.862011192154682e-05,8.061864299691024e-06,88.25145562439751
13|7.408197023739405e-05,8.051751057891465e-06,89.13129465632487
14|7.971843653109545e-05,8.059329863030484e-06,89.89025598879273
15|8.430521721969342e-05,8.069321957293596e-06,90.42844295594955
16|9.040597641796211e-05,8.017974550966755e-06,91.1311454522671
17|9.542185288413663e-05,8.065495682885171e-06,91.54753818008703
18|0.00010062263934162985,8.044243354987657e-06,92.00553333959351
19|0.0001060360822995321,8.035528676231252e-06,92.42189215032258
20|0.00011166275078711152,8.038852202574276e-06,92.80077541892139
21|0.00011614694997508224,8.052519699930372e-06,93.06695552344858
22|0.00012219936434210155,8.002799766870794e-06,93.4510299542421
23|0.0001271675892269286,8.035844732745545e-06,93.68090188577398
24|0.00013231172897842924,8.018699583445255e-06,93.93953986894651
25|0.00013766931235892343,8.010300295069328e-06,94.18149175163646
26|0.0001432410929140815,8.01110029513552e-06,94.4072611202843
27|0.00014898305412014423,8.018868372872134e-06,94.61759700106195
28|0.00015363863040640524,8.0323872744259e-06,94.77189606990207
29|0.00015850778746706595,8.006755338740845e-06,94.94866752814625
30|0.00016497038234231098,7.990238739097322e-06,95.15656166540386
31|0.00017027187569418345,8.036180531689752e-06,95.28038291765628
32|0.00017443820192131199,8.032872456098517e-06,95.39500386519572
33|0.0001801173645512577,7.99475777135683e-06,95.56136200900181
34|0.00018595561583012454,8.00309875259586e-06,95.6962317503189
35|0.0001907083444327995,8.015648552017751e-06,95.79690727437348
36|0.00019577086066746574,7.996861867809457e-06,95.91519297583676
37|0.00020095554608889898,7.996464654880242e-06,96.02077931636545
38|0.00020629421189433117,7.989905341787562e-06,96.12693673350361
39|0.00021195058996337224,7.987735246572925e-06,96.23132200389095
40|0.00021765608078361254,8.001316698980077e-06,96.32387173830683
41|0.00022227722270073969,8.007162056955508e-06,96.39766865913388
42|0.00022852223353631018,7.986528812509164e-06,96.50514145213788
43|0.00023350669617183684,8.012774481258589e-06,96.56850333946655
44|0.00023882182472334534,8.000410611330722e-06,96.65005046310215
45|0.00024416536253379917,8.00360319352933e-06,96.7220562693771
46|0.0002485469205284474,7.998942885834026e-06,96.78171716276867
47|0.00025444634150861845,7.982477777446206e-06,96.862805049537
48|0.0002603626381629809,7.997883162857988e-06,96.92817555572182
49|0.0002652462174594916,8.003426206215636e-06,96.9826426620248
50|0.0002703484538422174,7.996540793087092e-06,97.04213555526599
51|0.00027567086844904054,7.994601054051031e-06,97.09994708580211
52|0.00028099333151132555,7.996130177545524e-06,97.15433454077424
53|0.00028667030762719037,7.989178142153719e-06,97.21311278859633
54|0.000291184784679821,7.996660800202449e-06,97.25375046330275
55|0.0002972159164809085,7.982752643798108e-06,97.31415708205826
56|0.0003020817587575664,7.995826837969844e-06,97.35309180175065
57|0.0003070755763676658,7.986822687655604e-06,97.39906938150858
58|0.0003122885910000761,7.980610545743616e-06,97.4444757907465
59|0.00031772256727968795,7.978622932114376e-06,97.48880823907895
60|0.0003234394761895132,7.97945993014082e-06,97.53293567496831
61|0.0003278283563776796,7.992732317774198e-06,97.56191550783177
62|0.00033373280155402085,7.975699402251735e-06,97.61015418169475
63|0.0003386273026864117,7.98253351774747e-06,97.64267870475295
64|0.0003448749031536025,7.982119292648804e-06,97.68550299843254
65|0.0003499450060937548,7.993315051635363e-06,97.71583679937017
66|0.0003553029660716689,7.98514931332761e-06,97.75258017077265
67|0.0003607109735979108,7.990466482254988e-06,97.78480083304534
68|0.0003651154469865858,7.98693360692937e-06,97.81249090586331
69|0.00037092923038439807,7.976460397074447e-06,97.84960047801886
70|0.00037549127253644343,7.987042957680046e-06,97.87290849565488
71|0.0003816410040533569,7.970000121204635e-06,97.91164994417362
72|0.0003866073533460579,7.983332370287144e-06,97.93502831718227
73|0.0003917997542073337,7.980361804271752e-06,97.96315293244194
74|0.0003971007400513926,7.979716533768055e-06,97.99050575107583
75|0.0004025078028959683,7.97969457799752e-06,98.01750561837929
76|0.0004081413255123678,7.981440449000843e-06,98.04444197387237
77|0.00041246208487510927,7.98407146085367e-06,98.06428960294103
78|0.0004183004450997174,7.969970168275609e-06,98.09467805697035
79|0.00042307368395189116,7.975954362748894e-06,98.11475998973837
80|0.000428027647310536,7.966295601846696e-06,98.1388362055811
81|0.00043429289116758696,7.96806774161496e-06,98.16527787959113
82|0.00043957653701109933,7.976540908671836e-06,98.18540339689004
83|0.0004447422819184865,7.980701449028516e-06,98.20554470004468
84|0.0004503546999732322,7.975155073225437e-06,98.22913914883102
85|0.0004545517503853347,7.982870734224434e-06,98.24379276342965
86|0.0004602164793583441,7.963143655587146e-06,98.26969610764705
87|0.00046482115223156484,7.96984173234705e-06,98.28539607242817
88|0.0004709499102570902,7.96469791808363e-06,98.30880147875266
89|0.0004757374841108941,7.974956568901348e-06,98.32366445040468
90|0.0004806127600236465,7.96923790780113e-06,98.34185885796934
91|0.0004870101085741041,7.964978241403742e-06,98.36451480140236
92|0.0004922043472337378,7.976702702805483e-06,98.37939206599134
93|0.0004974835329090155,7.974391065701525e-06,98.39705426648565
94|0.0005015566548172146,7.972300853253955e-06,98.41048847090677
95|0.0005072480824406256,7.956632206429504e-06,98.431412068007
96|0.0005127735862728855,7.966058166886114e-06,98.44647649954287
97|0.000518629549217664,7.964221385492465e-06,98.464371843543
98|0.0005230226740815525,7.973721418252921e-06,98.47545396913144
99|0.0005279075541100298,7.960066984225023e-06,98.49214755078766
100|0.0005340003566720597,7.958159704557488e-06,98.50970891589783
101|0.0005390437724326347,7.968877758557369e-06,98.52166407143619
102|0.0005437351162358439,7.96715238315926e-06,98.53473646537415
103|0.0005489281195369955,7.953854089137735e-06,98.55102083386681
104|0.0005542994604441631,7.952226120266914e-06,98.56535560870026
105|0.000559640824598695,7.96150321846767e-06,98.57739055684927
106|0.0005648833351603599,7.959839148696801e-06,98.59088794920156
107|0.0005703643706826966,7.957750389309126e-06,98.60479532061511
108|0.0005761950448830433,7.957164893213076e-06,98.61901539003547
109|0.0005803536747563953,7.966590425567688e-06,98.62728698514545
110|0.0005863232799949714,7.9524613614268e-06,98.64367293048726
111|0.0005908992583103512,7.961689769686586e-06,98.6526146957008
112|0.0005965337235398493,7.957575450134868e-06,98.66603091558439
113|0.0006014175389177367,7.954884701177889e-06,98.67731082211323
114|0.0006074685781625178,7.952237538688678e-06,98.69092199587627
115|0.0006122968405000151,7.959209101571219e-06,98.70010612906779
116|0.0006171854518619568,7.954848484814647e-06,98.71110887970285
117|0.0006221332323290696,7.950403009715501e-06,98.72207389083658
118|0.0006274459407373811,7.945852505741868e-06,98.73361958539347
119|0.0006323206044465124,7.951207791734305e-06,98.74253539488971
120|0.0006377521640299477,7.944801435399995e-06,98.7542493960041
121|0.0006427352794178276,7.949851923427786e-06,98.76312189823646
