result_new_OneBody2_E-0.20_ecc0.8_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|0.0014289555514419572,0.0006883002498945245,51.831934226368226
2|0.0014294222126948197,0.0002793744634690398,80.45542730566997
3|0.0014342374728394391,0.0002428024431360143,83.07097341032899
4|0.0014481923777300842,0.00023060616120229582,84.07627572493159
5|0.0014661173134422611,0.0002278512972733182,84.45886320390339
6|0.0014906211419160043,0.00023035445605135152,84.54641158817456
7|0.001519187731603422,0.00023672710561584154,84.41752123906447
8|0.001552087881475539,0.0002463155478169554,84.13005147731789
9|0.0015864587827257859,0.00025895668434738894,83.67706194657887
10|0.0016226992401009444,0.00027457183955270636,83.07931422118457
11|0.0016571348386029694,0.00029326818074748573,82.30269656301942
12|0.0016899382493688053,0.0003152032626325685,81.34823785719405
13|0.0017169404771620878,0.00034056043765184896,80.1646916604379
14|0.0017372810059518295,0.0003695393062428387,78.7288697121066
15|0.0017503005734328392,0.00040238138906945053,77.01072631883645
16|0.001751573601939116,0.0004392869631395513,74.92043938928803
17|0.0017402358055524925,0.0004804304499592682,72.39279594027543
18|0.0017149162784354521,0.0005259618580515379,69.33017286818327
19|0.0016757397849745947,0.0005759957054012332,65.62737779660905
20|0.001623070922011749,0.0006306017858470625,61.14761361965317
21|0.001554695263107031,0.0006897631390621051,55.63354726612946
22|0.0014748668308814938,0.0007534084444111855,48.91684939711536
23|0.0013829415577888415,0.0008214772071997167,40.59928255296914
24|0.0012810797154967357,0.0008937649390547975,30.23346414409175
25|0.001172162369374341,0.0009701300394611145,17.23586554148332
26|0.0010590521025961586,0.00105024106631868,0.831973824128116
27|0.0009430907289680324,0.0011339202560480821,20.23448234814725
28|0.0008272124043657847,0.0012207744262369147,47.576900418081856
29|0.0007121559282139422,0.0013104625853896934,84.01343490551004
30|0.0006014016334079386,0.001402555342279177,133.21442183842646
31|0.0004948468272270024,0.0014965578926615652,202.42851127244782
32|0.00039458564484240455,0.0015919631420893143,303.45186473398854
33|0.0003011084873749681,0.001688132311687074,460.639232193032
34|0.000213850409328753,0.0017843991434300932,734.4146494884329
35|0.00013382492604852025,0.0018798602349128224,1304.716064801897
36|6.168261768313421e-05,0.0019737526863379262,3099.8523416713015
37|4.350216244786154e-06,0.002064958464589539,47367.94983041234
38|6.388456285999489e-05,0.0021525865258471555,3269.4940209023885
39|0.0001167807986992564,0.0022352240672647294,1814.033892695891
40|0.00016339953341359958,0.0023120718856322053,1314.9807146510334
41|0.00020602634293731548,0.0023816584064060287,1055.997030501415
