result_new_OneBody2_E-0.10_ecc0.4_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|3.064591598933575e-05,nan,nan
2|3.0797393296033704e-05,2.73206019345551e-05,11.289239086109175
3|3.157359715277863e-05,2.3414768913099238e-05,25.84066744185142
4|3.1549723207735525e-05,2.180736904655589e-05,30.87936492194313
5|3.07539713300109e-05,2.079697349355314e-05,32.37629940410766
6|3.054559923754141e-05,2.006351562311437e-05,34.31618261246701
7|3.092243907421022e-05,1.960690630387063e-05,36.59327371681011
8|3.0481145495198092e-05,1.9311695909962623e-05,36.64379866234053
9|3.060885060213181e-05,1.902747643445224e-05,37.8366842918073
10|3.131180156046298e-05,1.8841159527660523e-05,39.82729006736228
11|3.111709923953043e-05,1.8716800111562293e-05,39.85043410542295
12|3.1477650987987715e-05,1.8566941517583757e-05,41.015479443910394
13|3.0909991746153054e-05,1.846642295166845e-05,40.2574316314183
14|3.090538940142551e-05,1.834942677803042e-05,40.627097301080916
15|3.125433828321533e-05,1.8261954338072428e-05,41.569857686349636
16|3.065537869861856e-05,1.820244679429095e-05,40.62233915540826
17|3.057983828425037e-05,1.8112952823834405e-05,40.7683171654862
18|3.082919713470744e-05,1.8059496181166423e-05,41.420802811517
19|3.149084844711325e-05,1.801653788469082e-05,42.78802009749475
20|3.0921349015944344e-05,1.7989544578433936e-05,41.82160497215767
21|3.085711795280943e-05,1.7926929637646083e-05,41.90342187801794
22|3.104327642144966e-05,1.7890294872202617e-05,42.36982388933296
23|3.133220075612897e-05,1.7863361329695238e-05,42.98721156316815
24|3.05773984479174e-05,1.783406262312326e-05,41.67567050054934
25|3.125339611109723e-05,1.7788688728259672e-05,43.08238162334175
26|3.072597949405065e-05,1.7778364020948345e-05,42.13898364284628
27|3.0374797936882914e-05,1.774456101077959e-05,41.58130352783986
28|3.139377998184756e-05,1.7714762709175602e-05,43.57238051799244
29|3.0963187853227936e-05,1.77093144895224e-05,42.80526096515547
30|3.066765889858658e-05,1.7685560479208107e-05,42.33155997433112
31|3.0101522658476654e-05,1.7661987289585568e-05,41.32526952216514
32|3.099684195850827e-05,1.7633517155779543e-05,43.11189127142887
33|3.0193209963336187e-05,1.7635404146787437e-05,41.591489715064334
34|3.0416738537653032e-05,1.760552941210136e-05,42.11894417835959
35|3.0453506842054168e-05,1.7589958685171325e-05,42.23995687458621
36|3.0291511489366485e-05,1.7576234203176e-05,41.97637113834365
37|3.108704811127794e-05,1.7564176567397283e-05,43.500018063711714
38|3.0034679681101295e-05,1.7561361154605493e-05,41.52972050620664
