result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.00_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|3.999860048509163e-06,nan,nan
2|6.000639199754687e-06,5.02834843452149e-06,16.203119915507422
3|7.999465800878625e-06,4.812754575311828e-06,39.8365504008628
4|1.0000781449193141e-05,4.71596234596916e-06,52.844061537314744
5|1.1998913251431986e-05,4.671712972026398e-06,61.06553256838604
6|1.4000842199379804e-05,4.634737107878095e-06,66.89672634062399
7|1.5998375202386228e-05,4.618135525547018e-06,71.13372159906461
8|1.800103264670838e-05,4.5968627073733614e-06,74.46333886731809
9|1.9998101253193568e-05,4.589663479492856e-06,77.04950374346207
10|2.200164079546596e-05,4.5748099104514495e-06,79.20696027637078
11|2.3998417804094174e-05,4.571941857989259e-06,80.9489863235514
12|2.5994809615070835e-05,4.569397743736658e-06,82.42188417072504
13|2.7999728050787098e-05,4.558891994577152e-06,83.7180847388659
14|2.999615946208678e-05,4.559208345966681e-06,84.80069306295952
15|3.199239287532407e-05,4.5493076790137366e-06,85.78003309492162
16|3.3999251803251695e-05,4.550805106973144e-06,86.61498454934264
17|3.5995942413435955e-05,4.542959088027487e-06,87.3792467055071
18|3.799266542792168e-05,4.544368922054787e-06,88.03882572893919
19|3.9989507243376465e-05,4.536332170346213e-06,88.65619387921421
20|4.198655905618409e-05,4.5384054558894604e-06,89.19081354150404
21|4.39839168713263e-05,4.530996063678572e-06,89.69851621688476
22|4.598168148461923e-05,4.533608855439297e-06,90.14040220135104
23|4.797995849692427e-05,4.536456993164961e-06,90.54510021417428
24|4.997885830526627e-05,4.5297987600889655e-06,90.93657015448137
25|5.1978496111715344e-05,4.533083991731246e-06,91.2789243036419
26|5.39789919127287e-05,4.526862069198501e-06,91.61365948345725
27|5.596276265862343e-05,4.52959498176142e-06,91.90605544370236
28|5.796472125574326e-05,4.522808930929045e-06,92.1973075468194
29|5.99489541066589e-05,4.525919024445102e-06,92.45037867317458
30|6.195291309119e-05,4.519520267365351e-06,92.7049108074822
31|6.393816484440151e-05,4.522995039835109e-06,92.92598551922444
32|6.594470021425991e-05,4.5169724156579605e-06,93.15036325742336
33|6.793156606654804e-05,4.520806603736105e-06,93.34505758441169
34|6.991915801535242e-05,4.523854659765902e-06,93.52987823627312
35|7.190763926345767e-05,4.5174342471199225e-06,93.71772694335189
36|7.389717781158822e-05,4.520844205657681e-06,93.88225052763958
37|7.588794645130292e-05,4.514798696675371e-06,94.05070382346885
38|7.788012278275858e-05,4.518575362766342e-06,94.1980377003634
39|7.984859366061414e-05,4.511959410535837e-06,94.3493564461344
40|8.18435050824462e-05,4.515147647765616e-06,94.48319369604562
41|8.381382576239105e-05,4.508919733581251e-06,94.62031509411841
42|8.58122402629391e-05,4.5124914844763e-06,94.7414361043955
43|8.778519793928297e-05,4.506659937675295e-06,94.8662644233116
44|8.97594652133904e-05,4.509676069019974e-06,94.97582114788801
45|9.173525328343146e-05,4.512893815089569e-06,95.08052394955925
46|9.371277814551604e-05,4.506713388252592e-06,95.1909296923685
47|9.569226060079927e-05,4.5103428334414275e-06,95.2866169059823
48|9.767392623949434e-05,4.504587508336044e-06,95.38813716027869
49|9.962638793048484e-05,4.507692146660247e-06,95.47540341439908
50|0.00010161248374451759,4.501416535518388e-06,95.57001623261546
51|0.00010356858652649237,4.504958843298823e-06,95.65026520648085
52|0.0001055265586078491,4.4981864952831074e-06,95.73738918938977
53|0.00010748664957915821,4.501222756303491e-06,95.81229596984639
54|0.00011044850890584712,4.494895081919026e-06,95.93032524707894
55|0.00011241358346048003,4.5259264958019685e-06,95.97386155971702
56|0.00011438155409315698,4.51958342928549e-06,96.04867807128713
57|0.00011631601537942515,4.52214721491373e-06,96.11218867826378
58|0.0001182899572746976,4.5249669291536065e-06,96.17468208341174
59|0.00012022967774250048,4.5184693142630294e-06,96.24180202500386
60|0.00012217213419773998,4.5208740466762265e-06,96.29958658219147
61|0.00012411761464115045,4.51396710943186e-06,96.36315351170528
62|0.00012606641186252432,4.516919535291208e-06,96.41703173069055
63|0.00012797835732669682,4.509623757087411e-06,96.47626063399495
64|0.00012993405370664846,4.512179627269575e-06,96.52733098171731
65|0.0001318522440509895,4.505457928516421e-06,96.58294937568596
66|0.00013377370648015585,4.507638312389872e-06,96.63040037463675
67|0.0001356987577914026,4.500548396180193e-06,96.6834269749923
68|0.0001376277195799247,4.503315901516203e-06,96.72790051650824
69|0.00013951666080558311,4.505434310075884e-06,96.7706836702792
70|0.00014245278761038094,4.498264496888282e-06,96.84227695902212
71|0.00014434927681428178,4.522255316885548e-06,96.86714376636343
72|0.00014624974680010894,4.5144708451516635e-06,96.91317698394245
73|0.00014815454316163823,4.5165808195690715e-06,96.95143954199135
74|0.00015006401628880894,4.509451462908487e-06,96.99498149227878
75|0.00015193047325645637,4.511265958129229e-06,97.03070367554619
76|0.00015384973851340078,4.503849952541827e-06,97.0725657410529
77|0.000155725448928834,4.506331816145348e-06,97.10623289440332
78|0.0001576060222188147,4.498648763728852e-06,97.14563650525797
79|0.000159491832766534,4.500857865963326e-06,97.17800103748777
80|0.00016233074133609193,4.502433307962406e-06,97.22638283364917
81|0.0001642275045163899,4.513438627284927e-06,97.2517157582246
82|0.00016607818675140607,4.515523528425547e-06,97.28108572428924
83|0.00016793438815199124,4.507461495606435e-06,97.31593895377348
84|0.00016974277427017626,4.5083723900773975e-06,97.34399746353768
85|0.00017161058239167915,4.5001023192270395e-06,97.37772446400996
86|0.00017343012335047092,4.5017564236360386e-06,97.40428229152626
87|0.0001762539943772623,4.493262419913435e-06,97.45068902648762
88|0.00017808567447374912,4.5118208173988705e-06,97.46648862648189
89|0.00017992407261679944,4.503924422749606e-06,97.49676385308261
90|0.00018171209428707868,4.505019180811587e-06,97.5207928792597
91|0.0001835064303179479,4.505557399170357e-06,97.54474140695565
92|0.00018630578820832966,4.496920134045013e-06,97.5862692311972
93|0.00018811403075602584,4.514436616531725e-06,97.60015954238591
94|0.0001899299120307063,4.506465153042427e-06,97.62730098442111
95|0.0001916932047354436,4.507506151441021e-06,97.64858323608192
96|0.0001934637806897399,4.498474835301636e-06,97.67477156744089
97|0.00019624018049135827,4.499363987164884e-06,97.70721573130483
98|0.00019796409850947327,4.505567293477952e-06,97.72404828582474
99|0.00019975863707522024,4.50624123793375e-06,97.74415699670753
100|0.00020149849576789336,4.497819370286038e-06,97.76781491437679
101|0.0002041801809724575,4.497431881134162e-06,97.79732202228735
102|0.00020593659695578026,4.512253502397812e-06,97.808911301294
103|0.0002076366312522282,4.50311143040949e-06,97.83125385763974
104|0.00020934524397731025,4.503010199385926e-06,97.84900286539398
105|0.00021206068796431055,4.493795318083471e-06,97.88089185165721
106|0.00021372029623201172,4.507823472721384e-06,97.89078363066288
107|0.0002154569845149723,4.4984854561391785e-06,97.91211899383723
108|0.00021813301794892936,4.499109440558868e-06,97.93744684648694
109|0.0002197517287587658,4.502588575761024e-06,97.95105658499561
110|0.00022144970530035835,4.502178510890076e-06,97.96695213263723
111|0.00022408530888995415,4.4926856421767525e-06,97.99510031941315
112|0.00022573355686894558,4.5056877322480204e-06,98.00397964983829
113|0.0002273204861218403,4.504721921705368e-06,98.01833877863041
114|0.00022991477105982483,4.493732419064145e-06,98.04547902757633
115|0.00023152220037481186,4.505849819480545e-06,98.05381522282269
116|0.00023413799141991376,4.495747718991083e-06,98.07987260344768
117|0.00023569356662811458,4.507592533897764e-06,98.0875199105413
118|0.00023733528779779078,4.497497332778266e-06,98.10500268438373
119|0.00023983526920368092,4.496455078495387e-06,98.12519022184483
