result_new_OneBody2_zook_numericalmethod_E-0.05_ecc0.75_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
122|0.00560003456115199,2.035424687640841e-05,99.63653354896043
123|0.005626996468895307,2.0341765759823716e-05,99.63849691620977
124|0.005654207982576764,2.033239304921608e-05,99.64040245580159
125|0.005681870927157551,2.032266070273181e-05,99.64232449199794
126|0.005707207160023486,2.0314424569178868e-05,99.64405664627924
127|0.005733696513599007,2.0301022100710497e-05,99.64593483361804
128|0.005759624088474524,2.0294002181842075e-05,99.64765057805678
129|0.005785218084950472,2.0281574730773855e-05,99.64942419744669
130|0.0058103354211271885,2.027164121898295e-05,99.65111065455409
131|0.005835319956013496,2.0263137992415636e-05,99.65275018087854
132|0.0058594774531286475,2.0252713818891266e-05,99.65435972779318
133|0.0058820073343075485,2.0241934468145928e-05,99.6558668951315
134|0.0059054178871771335,2.0226098842002216e-05,99.65749927899394
135|0.005929544248342022,2.0214843296173512e-05,99.65908268073342
136|0.005954111141148299,2.020591632501123e-05,99.6606392483108
137|0.00597630266417859,2.019961082488919e-05,99.66200488897653
138|0.005997594066432299,2.018634883604875e-05,99.66342589024107
139|0.0060181328671284895,2.0172984916300152e-05,99.66479661779343
140|0.006041225473103484,2.015686503042957e-05,99.6663447653101
141|0.006062088954312372,2.0150267351581874e-05,99.66760191901757
142|0.00608335797154691,2.0136896818456762e-05,99.66898385870697
143|0.00610317452668685,2.012646168658705e-05,99.6702296223288
144|0.006123664065471157,2.0109385893363196e-05,99.6716118703057
145|0.006144475283136774,2.0102621146378397e-05,99.67283420926846
146|0.006162820076986986,2.009080268372543e-05,99.67399985018632
147|0.006180943781438852,2.0077570539456246e-05,99.67516982439238
148|0.006200425103267904,2.006109694896452e-05,99.6764561039792
149|0.006219070145128125,2.0048354391732914e-05,99.67763099749826
150|0.006237653598988757,2.003585906606986e-05,99.67879173237003
151|0.006256044331609534,2.0025032283044197e-05,99.67990904121531
152|0.00627347512376808,2.001760828385102e-05,99.68091675046242
153|0.006291039673566257,2.000285201475549e-05,99.68204218932519
154|0.006306196634833672,1.9990939740921476e-05,99.68299529972634
155|0.0063226719321063385,1.9974147408063914e-05,99.68408692365271
156|0.006338877561037126,1.995962853840183e-05,99.68512361461141
157|0.006355852617810243,1.9947128807373815e-05,99.6861612437098
158|0.0063716177435053645,1.9938363029936568e-05,99.68707534204701
159|0.006386036643004189,1.9925380822627403e-05,99.68798517865606
160|0.006401581029503056,1.990672762097745e-05,99.68903420062585
161|0.006414485141176485,1.989828266424354e-05,99.68979142945534
162|0.006429129484053053,1.9876862371148718e-05,99.69083120163543
163|0.006443587220324787,1.9866486518083093e-05,99.6916859221612
164|0.006456933038267998,1.9854236764871303e-05,99.69251289045121
165|0.006468639267088072,1.98360750651716e-05,99.6933501120383
166|0.006483719867191873,1.9820991397523358e-05,99.69429599360362
167|0.0064969898342548404,1.9812966764121143e-05,99.69504390079759
168|0.0065083432005743624,1.9800179392959194e-05,99.69577235276695
169|0.006520412242665863,1.97822307992368e-05,99.69661073467421
170|0.0065311301712882575,1.9768485088889065e-05,99.69731907693719
171|0.006541580767779109,1.9752605821210523e-05,99.69804537278661
172|0.006553225868604962,1.973396963705909e-05,99.69886632884729
173|0.006563972937116969,1.9720511652110417e-05,99.69956439733933
174|0.0065741946837638565,1.9706550576259474e-05,99.70024388500498
175|0.006584906140714608,1.9688344215396114e-05,99.70100797498597
176|0.006595661641822126,1.967722920603876e-05,99.70166405927696
177|0.006605200734310035,1.966554445154145e-05,99.70227181212842
178|0.006613648897010549,1.964928918418707e-05,99.70289790870108
179|0.006622605907913748,1.9632873435426745e-05,99.70354761088885
180|0.006630813141088598,1.9616849636250322e-05,99.7041561989631
181|0.006637687738903164,1.9597939058257907e-05,99.70474749899132
182|0.006647645383539569,1.957910462557777e-05,99.70547308865093
183|0.006655229619602299,1.9569926449136688e-05,99.70594663794175
184|0.006661285373854131,1.955125102170996e-05,99.70649431867234
185|0.006668792845271998,1.9532963106527745e-05,99.70709896738843
186|0.006674667625208297,1.9516091791516033e-05,99.70760953372705
187|0.006682523333970014,1.949961717429005e-05,99.70819978921487
188|0.006689283510593391,1.9485158739840358e-05,99.70871082517309
189|0.006693931940545905,1.9471609212118324e-05,99.70911551857621
190|0.006700396154359911,1.9453041019801276e-05,99.70967327048054
191|0.006706245288074619,1.9436789147064815e-05,99.71016883051342
192|0.00671103593424105,1.942172717583901e-05,99.710600161195
193|0.00671452674365236,1.9401475226388243e-05,99.71105223097473
194|0.006720860356056679,1.938347968533094e-05,99.71159228642709
195|0.006725406078577301,1.937199674451051e-05,99.71195796182157
196|0.006727508707338181,1.9354417856831674e-05,99.71230928566885
197|0.006732325211920465,1.9332980267350308e-05,99.71283353583219
198|0.006734622794718259,1.9316834855231946e-05,99.71317124293314
199|0.006738384992849067,1.9296052945705355e-05,99.71363979698128
200|0.006741322520094073,1.928110013160733e-05,99.71398638658609
201|0.006743400875194094,1.92639205973677e-05,99.71432929831843
202|0.006747421711484236,1.9244148790065196e-05,99.71479255909985
203|0.006748238695812869,1.9231922642859445e-05,99.71500826349263
204|0.006750958520646222,1.920943913980011e-05,99.71545612254833
205|0.00675326257921105,1.9194571917680037e-05,99.71577335113894
206|0.006752802506535982,1.917924760164169e-05,99.71598091928384
207|0.0067547246365387,1.915458087964339e-05,99.71642691730126
208|0.0067566855631917555,1.9138472445945354e-05,99.71674762326953
209|0.0067558190349621405,1.9123616270988464e-05,99.71693119410065
210|0.006756627352767275,1.9098342043832872e-05,99.71733912428941
211|0.006755780904339481,1.908477602441394e-05,99.71750451510121
212|0.006757085478566349,1.906498123283029e-05,99.71785200448767
213|0.006757202503583137,1.9047545965378276e-05,99.71811491582089
214|0.006755399211763269,1.903106822709333e-05,99.71828358871886
215|0.006754067614186621,1.9008718853186224e-05,99.71855894937653
216|0.006752437850255255,1.8990300146626282e-05,99.71876379216273
217|0.006751282331759256,1.896814099566768e-05,99.71904387842828
218|0.006751068888263045,1.8949254428690665e-05,99.71931475234041
219|0.006749365706856025,1.8934453935415263e-05,99.71946320946601
220|0.006747348853673341,1.891712839174886e-05,99.71963612965631
221|0.0067426569764852395,1.8895473189672884e-05,99.71976220567693
222|0.006741730917856348,1.887209131368195e-05,99.72007053465013
223|0.006738571820191108,1.8854272733292987e-05,99.72020372808376
224|0.006735131034082631,1.8835255744420465e-05,99.7203431433018
225|0.00673106225400355,1.8813651594840053e-05,99.72049505880517
226|0.0067296496143276485,1.8792064439665523e-05,99.72075716394421
227|0.006724729070160862,1.8778655302753577e-05,99.72075223987716
228|0.0067203878673427475,1.8756392334395855e-05,99.72090312784562
229|0.006715850240564869,1.8733096537104643e-05,99.72106143129945
230|0.006711539034387037,1.8711971195628507e-05,99.72119701457808
231|0.00670786689411651,1.869291918410454e-05,99.72132841215887
232|0.006704062736329508,1.8674257413309192e-05,99.72144864766685
233|0.00669874957309835,1.865750481577777e-05,99.7214777980251
234|0.00669298150437303,1.863442894567413e-05,99.72158254234681
235|0.006685740416569441,1.861402272140822e-05,99.72158621840482
236|0.006681141866835549,1.8589595045526153e-05,99.72176021081363
237|0.006675379977596041,1.8567564474381015e-05,99.72185007390294
238|0.006669382685724035,1.8550759927293825e-05,99.72185191941374
239|0.0066623456898504685,1.8530522782000958e-05,99.72186188401736
240|0.00665691371523458,1.850682551207683e-05,99.72199090594005
241|0.00664934215376034,1.848745043986355e-05,99.72196572213676
242|0.006642292366725311,1.8465580962967465e-05,99.72199987679748
243|0.006636963614607527,1.8442537044194296e-05,99.72212387900389
244|0.006628098661392912,1.8426848843233756e-05,99.72198891741661
245|0.006621355697492781,1.8400378477778645e-05,99.72210557296074
246|0.006615266942758602,1.838307017365537e-05,99.72211143809128
247|0.006604884363535568,1.8364087502220627e-05,99.72196201339109
248|0.006598201000239889,1.8335950208836493e-05,99.72210682566097
249|0.0065895848718762196,1.83192256297815e-05,99.72199727318231
250|0.006579480168968477,1.8293365574351128e-05,99.72196336025709
251|0.006570510547993624,1.8268768558371562e-05,99.72195815797069
252|0.006562991143879593,1.824630098745672e-05,99.72198193495244
253|0.006555283962942582,1.8226898683693094e-05,99.72195104305578
254|0.006546119581380072,1.8210855362355005e-05,99.72180686380746
255|0.0065357892304276355,1.8189447674288317e-05,99.72169470230762
256|0.0065259393891667905,1.816173675628363e-05,99.72169927311258
257|0.006517512808585035,1.8139122030191857e-05,99.72168643832508
258|0.006506919435607106,1.8120074191330104e-05,99.72152607127462
259|0.006496703635129997,1.8097783247128518e-05,99.72143129402937
260|0.006488077771762413,1.807421016941646e-05,99.72142426763008
261|0.006477664319770149,1.8054749041596097e-05,99.7212768653897
262|0.006466404460955477,1.803306060033094e-05,99.7211269305962
263|0.006455700586768032,1.8010585078442887e-05,99.7210126951154
264|0.0064444716615019715,1.7986847508311143e-05,99.72089492431535
265|0.006431647351627934,1.7960352641566146e-05,99.72075035119859
266|0.0064223610523646,1.7934168413447082e-05,99.72075427919388
267|0.006411003187241082,1.7918768680402763e-05,99.72049976958264
268|0.006398429987453991,1.7892486324555534e-05,99.72036130176248
269|0.006386730274538621,1.7868092921702328e-05,99.72023097651493
270|0.006376163852682026,1.7845887926526416e-05,99.72011560024418
271|0.006361692378674455,1.78234187782067e-05,99.7198321182905
272|0.00635226676836087,1.7796731599517557e-05,99.71983652059201
273|0.00633746519053302,1.778074659952722e-05,99.71943441005264
274|0.00632691963849874,1.77503526845868e-05,99.71944716072294
275|0.006313987669378296,1.7731308792789946e-05,99.7191741618568
276|0.00629964620743495,1.770797760158871e-05,99.71890520485596
277|0.006287037937017903,1.7680155963262223e-05,99.71878401020675
278|0.0062733070548541825,1.765754817206755e-05,99.71852887133264
279|0.006261279380257889,1.7632458765959313e-05,99.71838888356339
280|0.0062484147942623025,1.7612513017795095e-05,99.71812829977344
281|0.006234608332726488,1.7590092651786904e-05,99.71786370990695
282|0.0062200709757109784,1.756461810664689e-05,99.71761386364825
283|0.0062086198595077136,1.7540119022996237e-05,99.71748763139145
284|0.006192658956710062,1.7520533161174967e-05,99.71707576206516
285|0.006180074141899361,1.749236411541233e-05,99.71695543267323
286|0.0061641709242863385,1.7471590586737307e-05,99.71656219787968
287|0.006151790500021903,1.7443475160305866e-05,99.71644881014326
288|0.0061360776713543785,1.742474411337014e-05,99.71602797346071
289|0.006121294173167868,1.7397528603524393e-05,99.71578675830048
290|0.006106304249852812,1.737142823543536e-05,99.71551649697354
291|0.006092379669969006,1.73470731024139e-05,99.71526605296906
292|0.006075372637324605,1.7324792116468757e-05,99.7148357285933
293|0.006060745793831757,1.729633367375527e-05,99.71461707416671
294|0.006046205167512753,1.7271146305120055e-05,99.71434733313515
295|0.006029963043050479,1.7249623667225933e-05,99.71393483601685
296|0.0060151344913412785,1.7223153866652297e-05,99.71366967951515
297|0.005999897201833804,1.720195600718455e-05,99.71329582110295
298|0.005982082683962275,1.7175487352361074e-05,99.71288448756471
299|0.005965901142166885,1.7145242937388616e-05,99.71261268786024
300|0.00595258741941862,1.7121674920517194e-05,99.71236583834683
301|0.005934978331270102,1.710400071530671e-05,99.71181022472838
302|0.005919316625738524,1.707370270054298e-05,99.71155956371209
303|0.00590355946599086,1.705256437922742e-05,99.7111477494643
304|0.00588687900239826,1.7028212329961434e-05,99.71074295355783
305|0.005870316147132293,1.7003472033039202e-05,99.71034827414967
306|0.005852894477751391,1.6977500958859082e-05,99.70992983004571
307|0.0058358014204653585,1.6950971291507244e-05,99.70953481672521
308|0.005819041032489203,1.6925571847181686e-05,99.70913468812675
