result_new_OneBody2_E-0.15_ecc0.4_EU1.txt
geod|
newt|
num|numerrical|theoretical|relative difference(%)
1|6.999058330858787e-05,nan,nan
2|6.998154125659184e-05,6.18798693006184e-05,11.576869858107498
3|6.99472216196817e-05,5.28309688463402e-05,24.47023967071387
4|6.983088200085419e-05,4.8886978748718946e-05,29.99232238235091
5|6.964416854104982e-05,4.665436790451949e-05,33.010374189447944
6|6.92933825545694e-05,4.519292680660314e-05,34.78031358764577
7|7.008895838778173e-05,4.4173062771157845e-05,36.975718020003676
8|6.938979369541798e-05,4.349591413710385e-05,37.31655360149021
9|6.961551036255287e-05,4.288255567619359e-05,38.40086001975114
10|6.943488817379162e-05,4.245180669837367e-05,38.86098499630447
11|7.016539674919997e-05,4.2078215517271644e-05,40.029961395819484
12|7.016110037616485e-05,4.18153996202264e-05,40.40087827010202
13|6.939285091478453e-05,4.155169454156393e-05,40.12107300132396
14|6.928850216203486e-05,4.130841749905301e-05,40.38200248224292
15|6.957430548171217e-05,4.112000265621418e-05,40.89771738070356
16|6.989639272658721e-05,4.097093165889021e-05,41.38333888108409
17|6.924241759209693e-05,4.0838982451774086e-05,41.02028226057304
18|6.959287174668205e-05,4.069394829109285e-05,41.52569470157984
19|6.845561343515882e-05,4.0594031671226105e-05,40.700214877664074
20|6.841177171423851e-05,4.0471536142838715e-05,40.84126879231898
21|6.894792449463338e-05,4.037717624871817e-05,41.43815561574887
22|6.856497379326143e-05,4.031709437857245e-05,41.19870227014538
23|6.875706798847858e-05,4.022833795991332e-05,41.49206890751324
24|6.778891276004728e-05,4.017774966103005e-05,40.73109004823929
25|6.789539318718951e-05,4.009535128712827e-05,40.94540232415437
26|6.792537802313703e-05,4.004708049043515e-05,41.04253571206605
27|6.840429682775095e-05,3.999206954929946e-05,41.53573473607426
28|6.852568907067536e-05,3.996084761981322e-05,41.684865687962954
29|6.757175435323504e-05,3.9928330735961026e-05,40.90973200542715
30|6.758239972004532e-05,3.987637495539431e-05,40.99591739775592
31|6.771859872456432e-05,3.9835197244375564e-05,41.17539642779746
32|6.689191512299075e-05,3.9813147294509577e-05,40.48137623013607
33|6.69786565934416e-05,3.976309287168078e-05,40.633188400535495
34|6.76783192496977e-05,3.9746148377428625e-05,41.27196298893583
35|6.637468508863265e-05,3.9734603260566104e-05,40.135906923690904
36|6.622478092976891e-05,3.9691219604787165e-05,40.065910301946445
37|6.644966581781375e-05,3.96711334804678e-05,40.29897217356237
38|6.612479468204313e-05,3.9653916388271426e-05,40.03169827756024
