OneBody4_E-0.25_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [18.00,0.00,0.00,0.71] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,18.000000,0.000000|0.002778,17.999931,0.050000,0.000069,0.000386,0.070711|0.002778,17.999931,0.050000,0.000069,0.000386,0.070711
  2|0.020010,17.996396,0.360159|0.022787,17.996188,0.410158,0.003812,0.021177,0.070711|0.022787,17.996188,0.410157,0.003812,0.021177,0.070711
  3|0.040020,17.985587,0.720173|0.042796,17.985240,0.770169,0.014760,0.081999,0.070711|0.042796,17.985240,0.770167,0.014760,0.081999,0.070711
  4|0.060030,17.967577,1.079899|0.062804,17.967091,1.129891,0.032909,0.182828,0.070711|0.062804,17.967091,1.129886,0.032909,0.182827,0.070711
  5|0.080041,17.942372,1.439193|0.082811,17.941748,1.489179,0.058252,0.323622,0.070711|0.082810,17.941748,1.489169,0.058252,0.323622,0.070711
  6|0.100051,17.909984,1.797910|0.102817,17.909221,1.847889,0.090779,0.504327,0.070711|0.102816,17.909221,1.847874,0.090779,0.504327,0.070711
  7|0.120061,17.870424,2.155907|0.122822,17.869524,2.205878,0.130476,0.724869,0.070711|0.122821,17.869524,2.205856,0.130476,0.724868,0.070711
  8|0.140071,17.823710,2.513042|0.142827,17.822671,2.563002,0.177329,0.985160,0.070711|0.142825,17.822671,2.562972,0.177329,0.985159,0.070711
  9|0.160081,17.769858,2.869170|0.162830,17.768683,2.919118,0.231317,1.285097,0.070711|0.162828,17.768683,2.919080,0.231317,1.285095,0.070711
 10|0.180091,17.708892,3.224149|0.182832,17.707580,3.274084,0.292420,1.624558,0.070711|0.182830,17.707580,3.274035,0.292420,1.624556,0.070711
 11|0.200101,17.640836,3.577838|0.202834,17.639387,3.627757,0.360613,2.003408,0.070711|0.202831,17.639387,3.627697,0.360613,2.003405,0.070711
 12|0.220112,17.565716,3.930093|0.222835,17.564131,3.979996,0.435869,2.421495,0.070711|0.222831,17.564131,3.979924,0.435869,2.421492,0.070711
 13|0.240122,17.483563,4.280776|0.242835,17.481843,4.330660,0.518157,2.878652,0.070711|0.242830,17.481843,4.330574,0.518157,2.878649,0.070711
 14|0.260132,17.394409,4.629744|0.262834,17.392555,4.679609,0.607445,3.374696,0.070711|0.262828,17.392555,4.679508,0.607445,3.374692,0.070711
 15|0.280142,17.298291,4.976858|0.282832,17.296303,5.026702,0.703697,3.909428,0.070711|0.282826,17.296304,5.026585,0.703696,3.909424,0.070711
 16|0.300152,17.195247,5.321980|0.302829,17.193126,5.371801,0.806874,4.482635,0.070711|0.302822,17.193127,5.371667,0.806873,4.482629,0.070711
 17|0.320162,17.085318,5.664971|0.322826,17.083065,5.714768,0.916935,5.094085,0.070711|0.322818,17.083066,5.714616,0.916934,5.094079,0.070711
 18|0.340172,16.968549,6.005694|0.342821,16.966164,6.055466,1.033836,5.743536,0.070711|0.342812,16.966165,6.055293,1.033835,5.743529,0.070711
 19|0.360183,16.844985,6.344012|0.362816,16.842469,6.393757,1.157531,6.430726,0.070711|0.362806,16.842471,6.393564,1.157529,6.430719,0.070711
 20|0.380193,16.714676,6.679790|0.382810,16.712031,6.729506,1.287969,7.155382,0.070711|0.382799,16.712033,6.729291,1.287967,7.155373,0.070711
 21|0.400203,16.577675,7.012894|0.402803,16.574902,7.062580,1.425098,7.917211,0.070711|0.402791,16.574904,7.062342,1.425096,7.917201,0.070711
 22|0.420213,16.434037,7.343189|0.422795,16.431136,7.392844,1.568864,8.715910,0.070711|0.422782,16.431138,7.392582,1.568862,8.715899,0.070711
 23|0.440223,16.283818,7.670545|0.442786,16.280791,7.720167,1.719209,9.551159,0.070711|0.442772,16.280794,7.719879,1.719206,9.551146,0.070711
 24|0.460233,16.127080,7.994829|0.462777,16.123928,8.044418,1.876072,10.422623,0.070711|0.462761,16.123930,8.044103,1.876070,10.422609,0.070711
 25|0.480243,15.963884,8.315912|0.482766,15.960608,8.365465,2.039392,11.329953,0.070711|0.482749,15.960611,8.365123,2.039389,11.329938,0.070711
 26|0.500254,15.794297,8.633666|0.502755,15.790898,8.683182,2.209102,12.272787,0.070711|0.502737,15.790902,8.682811,2.209098,12.272769,0.070711
 27|0.520264,15.618386,8.947962|0.522743,15.614866,8.997441,2.385134,13.250746,0.070711|0.522724,15.614869,8.997040,2.385131,13.250726,0.070711
 28|0.540274,15.436221,9.258676|0.542730,15.432581,9.308116,2.567419,14.263439,0.070711|0.542710,15.432585,9.307684,2.567415,14.263418,0.070711
 29|0.560284,15.247876,9.565683|0.562717,15.244117,9.615083,2.755883,15.310460,0.070711|0.562695,15.244121,9.614618,2.755879,15.310437,0.070711
 30|0.580294,15.053425,9.868860|0.582702,15.049550,9.918218,2.950450,16.391392,0.070711|0.582679,15.049554,9.917719,2.950446,16.391366,0.070711
 31|0.600304,14.852947,10.168085|0.602687,14.848956,10.217401,3.151044,17.505799,0.070711|0.602663,14.848961,10.216868,3.151039,17.505771,0.070711
 32|0.620314,14.646523,10.463239|0.622671,14.642417,10.512511,3.357583,18.653237,0.070711|0.622645,14.642423,10.511942,3.357577,18.653206,0.070711
 33|0.640325,14.434233,10.754204|0.642654,14.430016,10.803431,3.569984,19.833246,0.070711|0.642627,14.430022,10.802825,3.569978,19.833212,0.070711
 34|0.660335,14.216165,11.040863|0.662637,14.211836,11.090043,3.788164,21.045354,0.070711|0.662608,14.211843,11.089400,3.788157,21.045316,0.070711
 35|0.680345,13.992404,11.323101|0.682618,13.987966,11.372235,4.012034,22.289075,0.070711|0.682589,13.987974,11.371552,4.012026,22.289033,0.070711
 36|0.700355,13.763041,11.600806|0.702599,13.758496,11.649891,4.241504,23.563911,0.070711|0.702568,13.758504,11.649168,4.241496,23.563866,0.070711
 37|0.720365,13.528168,11.873865|0.722580,13.523517,11.922901,4.476483,24.869353,0.070711|0.722547,13.523526,11.922137,4.476474,24.869303,0.070711
 38|0.740375,13.287878,12.142171|0.742559,13.283122,12.191156,4.716878,26.204876,0.070711|0.742526,13.283132,12.190350,4.716868,26.204821,0.070711
 39|0.760385,13.042267,12.405615|0.762538,13.037410,12.454549,4.962590,27.569947,0.070711|0.762503,13.037420,12.453699,4.962580,27.569887,0.070711
 40|0.780396,12.791434,12.664091|0.782516,12.786477,12.712974,5.213523,28.964019,0.070711|0.782480,12.786488,12.712079,5.213512,28.963954,0.070711
