OneBody2_thetadivide_E-0.05_ecc0.00_EU1.txt
initial value : [x, y, v_x, v_y] = [10.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 1, 1]

num|geodesic|
num|newtonian
num|degree, x, y, simple error, relative error
  1|0.000000,10.000000,0.000000,0.000000,0.000000
  2|0.000632,10.000000,0.006325,0.000000,0.000000
  3|0.001261,9.999994,0.012608,0.000006,0.000060
  4|0.001889,9.999984,0.018891,0.000016,0.000159
  5|0.002517,9.999970,0.025174,0.000030,0.000298
  6|0.003146,9.999952,0.031457,0.000048,0.000476
  7|0.003774,9.999931,0.037740,0.000069,0.000693
  8|0.004402,9.999905,0.044024,0.000095,0.000951
  9|0.005031,9.999875,0.050307,0.000125,0.001247
 10|0.005659,9.999842,0.056590,0.000158,0.001583
 11|0.006287,9.999804,0.062873,0.000196,0.001959
 12|0.006916,9.999763,0.069156,0.000237,0.002374
 13|0.007544,9.999717,0.075439,0.000283,0.002828
 14|0.008172,9.999668,0.081722,0.000332,0.003322
 15|0.008801,9.999614,0.088005,0.000386,0.003856
 16|0.009429,9.999557,0.094288,0.000443,0.004429
 17|0.010057,9.999496,0.100571,0.000504,0.005041
 18|0.010686,9.999431,0.106854,0.000569,0.005693
 19|0.011314,9.999362,0.113136,0.000638,0.006385
 20|0.011942,9.999288,0.119419,0.000712,0.007115
 21|0.012571,9.999211,0.125702,0.000789,0.007886
 22|0.013199,9.999130,0.131984,0.000870,0.008696
 23|0.013827,9.999046,0.138267,0.000954,0.009545
 24|0.014455,9.998957,0.144550,0.001043,0.010434
 25|0.015084,9.998864,0.150832,0.001136,0.011362
 26|0.015712,9.998767,0.157115,0.001233,0.012330
 27|0.016340,9.998666,0.163397,0.001334,0.013337
 28|0.016969,9.998562,0.169679,0.001438,0.014383
 29|0.017597,9.998453,0.175962,0.001547,0.015469
 30|0.018225,9.998340,0.182244,0.001660,0.016595
 31|0.018854,9.998224,0.188526,0.001776,0.017760
 32|0.019482,9.998104,0.194808,0.001896,0.018965
 33|0.020110,9.997979,0.201090,0.002021,0.020209
 34|0.020739,9.997851,0.207372,0.002149,0.021492
 35|0.021367,9.997718,0.213653,0.002282,0.022815
 36|0.021995,9.997582,0.219935,0.002418,0.024178
 37|0.022624,9.997442,0.226217,0.002558,0.025579
 38|0.023252,9.997298,0.232498,0.002702,0.027021
 39|0.023880,9.997150,0.238780,0.002850,0.028502
 40|0.024509,9.996998,0.245061,0.003002,0.030022
 41|0.025137,9.996842,0.251342,0.003158,0.031582
 42|0.025765,9.996682,0.257624,0.003318,0.033181
 43|0.026394,9.996518,0.263905,0.003482,0.034820
 44|0.027022,9.996350,0.270186,0.003650,0.036498
 45|0.027650,9.996178,0.276466,0.003822,0.038215
 46|0.028278,9.996003,0.282747,0.003997,0.039972
 47|0.028907,9.995823,0.289028,0.004177,0.041769
 48|0.029535,9.995639,0.295308,0.004361,0.043605
 49|0.030163,9.995452,0.301589,0.004548,0.045480
 50|0.030792,9.995260,0.307869,0.004740,0.047395
 51|0.031420,9.995065,0.314149,0.004935,0.049350
 52|0.032048,9.994866,0.320429,0.005134,0.051344
 53|0.032677,9.994662,0.326709,0.005338,0.053377
 54|0.033305,9.994455,0.332989,0.005545,0.055450
 55|0.033933,9.994244,0.339268,0.005756,0.057562
 56|0.034562,9.994029,0.345548,0.005971,0.059714
 57|0.035190,9.993810,0.351827,0.006190,0.061905
 58|0.035818,9.993586,0.358106,0.006414,0.064135
 59|0.036447,9.993359,0.364386,0.006641,0.066405
 60|0.037075,9.993129,0.370664,0.006871,0.068715
 61|0.037703,9.992894,0.376943,0.007106,0.071064
 62|0.038332,9.992655,0.383222,0.007345,0.073452
 63|0.038960,9.992412,0.389500,0.007588,0.075880
 64|0.039588,9.992165,0.395779,0.007835,0.078347
 65|0.040217,9.991915,0.402057,0.008085,0.080854
 66|0.040845,9.991660,0.408335,0.008340,0.083400
 67|0.041473,9.991401,0.414613,0.008599,0.085986
 68|0.042101,9.991139,0.420891,0.008861,0.088611
 69|0.042730,9.990872,0.427168,0.009128,0.091275
 70|0.043358,9.990602,0.433445,0.009398,0.093979
 71|0.043986,9.990328,0.439723,0.009672,0.096723
 72|0.044615,9.990049,0.446000,0.009951,0.099506
 73|0.045243,9.989767,0.452277,0.010233,0.102328
 74|0.045871,9.989481,0.458553,0.010519,0.105190
 75|0.046500,9.989191,0.464830,0.010809,0.108091
 76|0.047128,9.988897,0.471106,0.011103,0.111031
 77|0.047756,9.988599,0.477382,0.011401,0.114011
 78|0.048385,9.988297,0.483658,0.011703,0.117031
 79|0.049013,9.987991,0.489934,0.012009,0.120090
 80|0.049641,9.987681,0.496209,0.012319,0.123188
 81|0.050270,9.987367,0.502485,0.012633,0.126326
 82|0.050898,9.987050,0.508760,0.012950,0.129503
 83|0.051526,9.986728,0.515035,0.013272,0.132720
 84|0.052155,9.986402,0.521309,0.013598,0.135976
 85|0.052783,9.986073,0.527584,0.013927,0.139271
 86|0.053411,9.985739,0.533858,0.014261,0.142606
 87|0.054040,9.985402,0.540132,0.014598,0.145980
 88|0.054668,9.985061,0.546406,0.014939,0.149394
 89|0.055296,9.984715,0.552680,0.015285,0.152847
 90|0.055925,9.984366,0.558954,0.015634,0.156340
 91|0.056553,9.984013,0.565227,0.015987,0.159872
 92|0.057181,9.983656,0.571500,0.016344,0.163443
 93|0.057809,9.983295,0.577773,0.016705,0.167054
 94|0.058438,9.982930,0.584045,0.017070,0.170704
 95|0.059066,9.982561,0.590318,0.017439,0.174394
 96|0.059694,9.982188,0.596590,0.017812,0.178123
 97|0.060323,9.981811,0.602862,0.018189,0.181891
 98|0.060951,9.981430,0.609133,0.018570,0.185699
 99|0.061579,9.981045,0.615405,0.018955,0.189546
100|0.062208,9.980657,0.621676,0.019343,0.193433
101|0.062836,9.980264,0.627947,0.019736,0.197359
102|0.063464,9.979868,0.634217,0.020132,0.201325
103|0.064093,9.979467,0.640488,0.020533,0.205330
104|0.064721,9.979063,0.646758,0.020937,0.209374
105|0.065349,9.978654,0.653028,0.021346,0.213457
106|0.065978,9.978242,0.659297,0.021758,0.217581
107|0.066606,9.977826,0.665567,0.022174,0.221743
108|0.067234,9.977406,0.671836,0.022594,0.225945
109|0.067863,9.976981,0.678105,0.023019,0.230186
110|0.068491,9.976553,0.684373,0.023447,0.234467
111|0.069119,9.976121,0.690642,0.023879,0.238787
112|0.069748,9.975685,0.696910,0.024315,0.243146
113|0.070376,9.975246,0.703178,0.024754,0.247545
114|0.071004,9.974802,0.709445,0.025198,0.251983
115|0.071632,9.974354,0.715712,0.025646,0.256460
116|0.072261,9.973902,0.721979,0.026098,0.260977
117|0.072889,9.973447,0.728246,0.026553,0.265534
118|0.073517,9.972987,0.734512,0.027013,0.270129
119|0.074146,9.972524,0.740778,0.027476,0.274764
120|0.074774,9.972056,0.747044,0.027944,0.279439
121|0.075402,9.971585,0.753309,0.028415,0.284153
122|0.076031,9.971109,0.759575,0.028891,0.288906
123|0.076659,9.970630,0.765840,0.029370,0.293698
124|0.077287,9.970147,0.772104,0.029853,0.298530
125|0.077916,9.969660,0.778368,0.030340,0.303401
126|0.078544,9.969169,0.784632,0.030831,0.308312
127|0.079172,9.968674,0.790896,0.031326,0.313262
128|0.079801,9.968175,0.797159,0.031825,0.318251
129|0.080429,9.967672,0.803422,0.032328,0.323280
130|0.081057,9.967165,0.809685,0.032835,0.328348
131|0.081686,9.966655,0.815948,0.033345,0.333455
132|0.082314,9.966140,0.822210,0.033860,0.338602
133|0.082942,9.965621,0.828471,0.034379,0.343788
134|0.083571,9.965099,0.834733,0.034901,0.349013
135|0.084199,9.964572,0.840994,0.035428,0.354278
136|0.084827,9.964042,0.847255,0.035958,0.359582
137|0.085455,9.963507,0.853515,0.036493,0.364925
138|0.086084,9.962969,0.859775,0.037031,0.370308
139|0.086712,9.962427,0.866035,0.037573,0.375730
140|0.087340,9.961881,0.872294,0.038119,0.381191
141|0.087969,9.961331,0.878553,0.038669,0.386692
142|0.088597,9.960777,0.884812,0.039223,0.392232
143|0.089225,9.960219,0.891070,0.039781,0.397812
144|0.089854,9.959657,0.897328,0.040343,0.403430
145|0.090482,9.959091,0.903586,0.040909,0.409088
146|0.091110,9.958521,0.909843,0.041479,0.414786
147|0.091739,9.957948,0.916100,0.042052,0.420522
148|0.092367,9.957370,0.922357,0.042630,0.426298
149|0.092995,9.956789,0.928613,0.043211,0.432113
150|0.093624,9.956203,0.934869,0.043797,0.437968
151|0.094252,9.955614,0.941124,0.044386,0.443862
152|0.094880,9.955020,0.947380,0.044980,0.449795
153|0.095509,9.954423,0.953634,0.045577,0.455767
154|0.096137,9.953822,0.959889,0.046178,0.461779
155|0.096765,9.953217,0.966143,0.046783,0.467830
156|0.097394,9.952608,0.972396,0.047392,0.473921
157|0.098022,9.951995,0.978650,0.048005,0.480050
158|0.098650,9.951378,0.984902,0.048622,0.486219
159|0.099279,9.950757,0.991155,0.049243,0.492428
160|0.099907,9.950132,0.997407,0.049868,0.498675
