OneBody4_E-0.20_plotinterval0.010_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [22.50,0.00,0.00,0.63] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,22.500000,0.000000|0.000444,22.499998,0.010000,0.000002,0.000010,0.015811|0.000444,22.499998,0.010000,0.000002,0.000010,0.015811
  2|0.020010,22.495496,0.450198|0.020455,22.495489,0.460198,0.004511,0.020049,0.015811|0.020454,22.495489,0.460198,0.004511,0.020049,0.015811
  3|0.040020,22.481984,0.900216|0.040464,22.481973,0.910216,0.018027,0.080120,0.015811|0.040464,22.481973,0.910216,0.018027,0.080120,0.015811
  4|0.060030,22.459471,1.349874|0.060474,22.459456,1.359873,0.040544,0.180198,0.015811|0.060474,22.459456,1.359873,0.040544,0.180198,0.015811
  5|0.080041,22.427965,1.798991|0.080484,22.427945,1.808990,0.072055,0.320243,0.015811|0.080484,22.427945,1.808990,0.072055,0.320243,0.015811
  6|0.100051,22.387480,2.247387|0.100493,22.387455,2.257387,0.112545,0.500198,0.015811|0.100493,22.387455,2.257386,0.112545,0.500198,0.015811
  7|0.120061,22.338030,2.694884|0.120502,22.338001,2.704883,0.161999,0.719993,0.015811|0.120502,22.338001,2.704883,0.161999,0.719993,0.015811
  8|0.140071,22.279637,3.141302|0.140511,22.279604,3.151301,0.220396,0.979539,0.015811|0.140511,22.279604,3.151300,0.220396,0.979539,0.015811
  9|0.160081,22.212323,3.586462|0.160520,22.212285,3.596461,0.287715,1.278732,0.015811|0.160520,22.212285,3.596459,0.287715,1.278732,0.015811
 10|0.180091,22.136115,4.030186|0.180529,22.136073,4.040184,0.363927,1.617452,0.015811|0.180529,22.136073,4.040183,0.363927,1.617452,0.015811
 11|0.200101,22.051044,4.472297|0.200537,22.050998,4.482294,0.449002,1.995564,0.015811|0.200537,22.050998,4.482292,0.449002,1.995564,0.015811
 12|0.220112,21.957145,4.912617|0.220546,21.957094,4.922613,0.542906,2.412916,0.015811|0.220546,21.957094,4.922611,0.542906,2.412916,0.015811
 13|0.240122,21.854453,5.350970|0.240554,21.854398,5.360966,0.645602,2.869341,0.015811|0.240554,21.854398,5.360963,0.645602,2.869341,0.015811
 14|0.260132,21.743012,5.787180|0.260562,21.742952,5.797175,0.757048,3.364657,0.015811|0.260562,21.742952,5.797172,0.757048,3.364657,0.015811
 15|0.280142,21.622864,6.221073|0.280570,21.622800,6.231068,0.877200,3.898665,0.015811|0.280569,21.622800,6.231064,0.877200,3.898665,0.015811
 16|0.300152,21.494059,6.652475|0.300577,21.493991,6.662469,1.006009,4.471151,0.015811|0.300577,21.493991,6.662465,1.006009,4.471151,0.015811
 17|0.320162,21.356648,7.081214|0.320585,21.356576,7.091207,1.143424,5.081886,0.015811|0.320585,21.356576,7.091203,1.143424,5.081886,0.015811
 18|0.340172,21.210686,7.507118|0.340592,21.210609,7.517110,1.289391,5.730625,0.015811|0.340592,21.210609,7.517105,1.289391,5.730625,0.015811
 19|0.360183,21.056231,7.930015|0.360599,21.056150,7.940007,1.443850,6.417109,0.015811|0.360599,21.056150,7.940001,1.443850,6.417109,0.015811
 20|0.380193,20.893345,8.349738|0.380606,20.893261,8.359728,1.606739,7.141063,0.015811|0.380606,20.893261,8.359722,1.606739,7.141063,0.015811
 21|0.400203,20.722094,8.766117|0.400613,20.722006,8.776106,1.777994,7.902198,0.015811|0.400613,20.722006,8.776100,1.777994,7.902198,0.015811
 22|0.420213,20.542546,9.178987|0.420620,20.542453,9.188975,1.957547,8.700207,0.015811|0.420620,20.542453,9.188967,1.957547,8.700207,0.015811
 23|0.440223,20.354773,9.588181|0.440626,20.354676,9.598168,2.145324,9.534772,0.015811|0.440626,20.354676,9.598160,2.145324,9.534772,0.015811
 24|0.460233,20.158850,9.993536|0.460633,20.158749,10.003522,2.341251,10.405559,0.015811|0.460633,20.158749,10.003513,2.341251,10.405559,0.015811
 25|0.480243,19.954856,10.394890|0.480639,19.954751,10.404875,2.545249,11.312219,0.015811|0.480639,19.954751,10.404865,2.545249,11.312219,0.015811
