OneBody4_E-0.05_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [90.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
 39|0.760385,65.211335,62.028073|0.760793,65.210368,62.077730,24.789632,27.544036,0.158114|0.760792,65.210365,62.077690,24.789635,27.544039,0.158114
 40|0.780396,63.957172,63.320456|0.780795,63.956185,63.370096,26.043815,28.937572,0.158114|0.780795,63.956182,63.370054,26.043818,28.937576,0.158114
 41|0.800406,62.677401,64.587486|0.800798,62.676395,64.637108,27.323605,30.359561,0.158114|0.800797,62.676391,64.637065,27.323609,30.359565,0.158114
 42|0.820416,61.372535,65.828656|0.820800,61.371510,65.878261,28.628490,31.809433,0.158114|0.820800,61.371506,65.878214,28.628494,31.809438,0.158114
 43|0.840426,60.043095,67.043469|0.840802,60.042052,67.093055,29.957948,33.286609,0.158114|0.840802,60.042048,67.093007,29.957952,33.286614,0.158114
 44|0.860436,58.689615,68.231438|0.860804,58.688553,68.281005,31.311447,34.790496,0.158114|0.860804,58.688549,68.280955,31.311451,34.790501,0.158114
 45|0.880446,57.312636,69.392087|0.880806,57.311557,69.441636,32.688443,36.320493,0.158114|0.880806,57.311552,69.441583,32.688448,36.320498,0.158114
 46|0.900456,55.912709,70.524953|0.900808,55.911613,70.574483,34.088387,37.875986,0.158114|0.900807,55.911608,70.574427,34.088392,37.875992,0.158114
 47|0.920467,54.490395,71.629581|0.920809,54.489282,71.679091,35.510718,39.456353,0.158114|0.920809,54.489277,71.679033,35.510723,39.456359,0.158114
 48|0.940477,53.046264,72.705529|0.940811,53.045134,72.755019,36.954866,41.060962,0.158114|0.940811,53.045129,72.754959,36.954871,41.060968,0.158114
 49|0.960487,51.580893,73.752366|0.960812,51.579748,73.801837,38.420252,42.689169,0.158114|0.960812,51.579742,73.801773,38.420258,42.689176,0.158114
 50|0.980497,50.094870,74.769673|0.980813,50.093709,74.819124,39.906291,44.340323,0.158114|0.980813,50.093703,74.819058,39.906297,44.340330,0.158114
 51|1.000507,48.588789,75.757043|1.000815,48.587613,75.806473,41.412387,46.013763,0.158114|1.000814,48.587607,75.806405,41.412393,46.013770,0.158114
 52|1.020517,47.063253,76.714081|1.020816,47.062063,76.763490,42.937937,47.708819,0.158114|1.020815,47.062057,76.763419,42.937943,47.708826,0.158114
 53|1.040528,45.518874,77.640403|1.040816,45.517670,77.689791,44.482330,49.424811,0.158114|1.040816,45.517663,77.689716,44.482337,49.424819,0.158114
 54|1.060538,43.956269,78.535638|1.060817,43.955052,78.585005,46.044948,51.161054,0.158114|1.060817,43.955044,78.584928,46.044956,51.161062,0.158114
 55|1.080548,42.376065,79.399428|1.080818,42.374834,79.448773,47.625166,52.916851,0.158114|1.080818,42.374827,79.448693,47.625173,52.916859,0.158114
