unnorm_init[10.00,0.00,0.00,3.00]_dt0.01000_m[90, 1].txt
Eccentricity : 0.000000 

Error of arcl_geod | mean = 3.634486, max = 9.987963, min = 0.000002
Error of newtonian | mean = 3.634486, max = 9.987963, min = 0.000002

   ||arc domain geodesic ||     newtonian
num||degree   | error    || degree   | error    
102||0.303000 | 0.455544 || 0.303000 | 0.455544 
103||0.306000 | 0.464538 || 0.306000 | 0.464538 
104||0.309000 | 0.473618 || 0.309000 | 0.473618 
105||0.312000 | 0.482785 || 0.312000 | 0.482785 
106||0.315000 | 0.492036 || 0.315000 | 0.492036 
107||0.318000 | 0.501373 || 0.318000 | 0.501373 
108||0.321000 | 0.510796 || 0.321000 | 0.510796 
109||0.324000 | 0.520304 || 0.324000 | 0.520304 
110||0.327000 | 0.529898 || 0.327000 | 0.529898 
111||0.330000 | 0.539577 || 0.330000 | 0.539577 
112||0.333000 | 0.549340 || 0.333000 | 0.549340 
113||0.336000 | 0.559189 || 0.336000 | 0.559189 
114||0.339000 | 0.569123 || 0.339000 | 0.569123 
115||0.342000 | 0.579142 || 0.342000 | 0.579142 
116||0.345000 | 0.589245 || 0.345000 | 0.589245 
117||0.348000 | 0.599434 || 0.348000 | 0.599434 
118||0.351000 | 0.609707 || 0.351000 | 0.609707 
119||0.354000 | 0.620064 || 0.354000 | 0.620064 
120||0.357000 | 0.630506 || 0.357000 | 0.630506 
121||0.360000 | 0.641032 || 0.360000 | 0.641032 
122||0.363000 | 0.651642 || 0.363000 | 0.651642 
123||0.366000 | 0.662337 || 0.366000 | 0.662337 
124||0.369000 | 0.673115 || 0.369000 | 0.673115 
125||0.372000 | 0.683977 || 0.372000 | 0.683977 
126||0.375000 | 0.694924 || 0.375000 | 0.694924 
127||0.378000 | 0.705954 || 0.378000 | 0.705954 
128||0.381000 | 0.717067 || 0.381000 | 0.717067 
129||0.384000 | 0.728265 || 0.384000 | 0.728265 
130||0.387000 | 0.739545 || 0.387000 | 0.739545 
131||0.390000 | 0.750909 || 0.390000 | 0.750909 
132||0.393000 | 0.762357 || 0.393000 | 0.762357 
133||0.396000 | 0.773887 || 0.396000 | 0.773887 
134||0.399000 | 0.785500 || 0.399000 | 0.785500 
135||0.402000 | 0.797197 || 0.402000 | 0.797197 
136||0.405000 | 0.808976 || 0.405000 | 0.808976 
137||0.408000 | 0.820838 || 0.408000 | 0.820838 
138||0.411000 | 0.832782 || 0.411000 | 0.832782 
139||0.414000 | 0.844809 || 0.414000 | 0.844809 
140||0.417000 | 0.856919 || 0.417000 | 0.856919 
141||0.420000 | 0.869111 || 0.420000 | 0.869111 
142||0.423000 | 0.881384 || 0.423000 | 0.881384 
143||0.426000 | 0.893740 || 0.426000 | 0.893740 
144||0.429000 | 0.906178 || 0.429000 | 0.906178 
145||0.432000 | 0.918698 || 0.432000 | 0.918698 
146||0.435000 | 0.931300 || 0.435000 | 0.931300 
147||0.438000 | 0.943983 || 0.438000 | 0.943983 
148||0.441000 | 0.956747 || 0.441000 | 0.956747 
149||0.444000 | 0.969593 || 0.444000 | 0.969593 
150||0.447000 | 0.982521 || 0.447000 | 0.982521 
151||0.450000 | 0.995529 || 0.450000 | 0.995529 
152||0.453000 | 1.008618 || 0.453000 | 1.008618 
153||0.456000 | 1.021789 || 0.456000 | 1.021789 
154||0.459000 | 1.035040 || 0.459000 | 1.035040 
155||0.462000 | 1.048372 || 0.462000 | 1.048372 
156||0.465000 | 1.061784 || 0.465000 | 1.061784 
157||0.468000 | 1.075277 || 0.468000 | 1.075277 
158||0.471000 | 1.088850 || 0.471000 | 1.088850 
159||0.474000 | 1.102504 || 0.474000 | 1.102504 
160||0.477000 | 1.116237 || 0.477000 | 1.116237 
161||0.480000 | 1.130051 || 0.480000 | 1.130051 
162||0.483000 | 1.143944 || 0.483000 | 1.143944 
163||0.486000 | 1.157917 || 0.486000 | 1.157917 
164||0.489000 | 1.171970 || 0.489000 | 1.171970 
165||0.492000 | 1.186102 || 0.492000 | 1.186102 
166||0.495000 | 1.200313 || 0.495000 | 1.200313 
167||0.498000 | 1.214603 || 0.498000 | 1.214603 
168||0.501000 | 1.228973 || 0.501000 | 1.228973 
169||0.504000 | 1.243422 || 0.504000 | 1.243422 
170||0.507000 | 1.257949 || 0.507000 | 1.257949 
171||0.510000 | 1.272555 || 0.510000 | 1.272555 
172||0.513000 | 1.287239 || 0.513000 | 1.287239 
173||0.516000 | 1.302002 || 0.516000 | 1.302002 
174||0.519000 | 1.316844 || 0.519000 | 1.316844 
175||0.522000 | 1.331763 || 0.522000 | 1.331763 
176||0.525000 | 1.346761 || 0.525000 | 1.346761 
177||0.528000 | 1.361836 || 0.528000 | 1.361836 
178||0.531000 | 1.376989 || 0.531000 | 1.376989 
179||0.534000 | 1.392220 || 0.534000 | 1.392220 
180||0.537000 | 1.407528 || 0.537000 | 1.407528 
181||0.540000 | 1.422913 || 0.540000 | 1.422913 
182||0.543000 | 1.438376 || 0.543000 | 1.438376 
183||0.546000 | 1.453916 || 0.546000 | 1.453916 
184||0.549000 | 1.469532 || 0.549000 | 1.469532 
185||0.552000 | 1.485226 || 0.552000 | 1.485226 
186||0.555000 | 1.500996 || 0.555000 | 1.500996 
187||0.558000 | 1.516842 || 0.558000 | 1.516842 
188||0.561000 | 1.532765 || 0.561000 | 1.532765 
189||0.564000 | 1.548764 || 0.564000 | 1.548764 
190||0.567000 | 1.564839 || 0.567000 | 1.564839 
191||0.570000 | 1.580990 || 0.570000 | 1.580990 
192||0.573000 | 1.597217 || 0.573000 | 1.597217 
193||0.576000 | 1.613520 || 0.576000 | 1.613520 
194||0.579000 | 1.629897 || 0.579000 | 1.629897 
195||0.582000 | 1.646351 || 0.582000 | 1.646351 
196||0.585000 | 1.662879 || 0.585000 | 1.662879 
197||0.588000 | 1.679483 || 0.588000 | 1.679483 
198||0.591000 | 1.696161 || 0.591000 | 1.696161 
199||0.594000 | 1.712914 || 0.594000 | 1.712914 
200||0.597000 | 1.729742 || 0.597000 | 1.729742 
201||0.600000 | 1.746644 || 0.600000 | 1.746644 
202||0.603000 | 1.763620 || 0.603000 | 1.763620 
203||0.606000 | 1.780671 || 0.606000 | 1.780671 
204||0.609000 | 1.797795 || 0.609000 | 1.797795 
205||0.612000 | 1.814994 || 0.612000 | 1.814994 
206||0.615000 | 1.832266 || 0.615000 | 1.832266 
207||0.618000 | 1.849611 || 0.618000 | 1.849611 
208||0.621000 | 1.867030 || 0.621000 | 1.867030 
209||0.624000 | 1.884522 || 0.624000 | 1.884522 
210||0.627000 | 1.902087 || 0.627000 | 1.902087 
211||0.630000 | 1.919725 || 0.630000 | 1.919725 
212||0.633000 | 1.937436 || 0.633000 | 1.937436 
213||0.636000 | 1.955219 || 0.636000 | 1.955219 
214||0.639000 | 1.973074 || 0.639000 | 1.973074 
215||0.642000 | 1.991002 || 0.642000 | 1.991002 
216||0.645000 | 2.009002 || 0.645000 | 2.009002 
217||0.648000 | 2.027074 || 0.648000 | 2.027074 
218||0.651000 | 2.045218 || 0.651000 | 2.045218 
219||0.654000 | 2.063433 || 0.654000 | 2.063433 
220||0.657000 | 2.081720 || 0.657000 | 2.081720 
221||0.660000 | 2.100078 || 0.660000 | 2.100078 
222||0.663000 | 2.118507 || 0.663000 | 2.118507 
223||0.666000 | 2.137007 || 0.666000 | 2.137007 
224||0.669000 | 2.155577 || 0.669000 | 2.155577 
225||0.672000 | 2.174219 || 0.672000 | 2.174219 
226||0.675000 | 2.192930 || 0.675000 | 2.192930 
227||0.678000 | 2.211713 || 0.678000 | 2.211713 
228||0.681000 | 2.230565 || 0.681000 | 2.230565 
229||0.684000 | 2.249487 || 0.684000 | 2.249487 
230||0.687000 | 2.268478 || 0.687000 | 2.268478 
231||0.690000 | 2.287540 || 0.690000 | 2.287540 
232||0.693000 | 2.306671 || 0.693000 | 2.306671 
233||0.696000 | 2.325871 || 0.696000 | 2.325871 
234||0.699000 | 2.345140 || 0.699000 | 2.345140 
235||0.702000 | 2.364478 || 0.702000 | 2.364478 
236||0.705000 | 2.383884 || 0.705000 | 2.383884 
237||0.708000 | 2.403360 || 0.708000 | 2.403360 
238||0.711000 | 2.422903 || 0.711000 | 2.422903 
239||0.714000 | 2.442515 || 0.714000 | 2.442515 
240||0.717000 | 2.462195 || 0.717000 | 2.462195 
241||0.720000 | 2.481943 || 0.720000 | 2.481943 
242||0.723000 | 2.501758 || 0.723000 | 2.501758 
243||0.726000 | 2.521641 || 0.726000 | 2.521641 
244||0.729000 | 2.541591 || 0.729000 | 2.541591 
245||0.732000 | 2.561608 || 0.732000 | 2.561608 
246||0.735000 | 2.581692 || 0.735000 | 2.581692 
247||0.738000 | 2.601843 || 0.738000 | 2.601843 
248||0.741000 | 2.622061 || 0.741000 | 2.622061 
249||0.744000 | 2.642345 || 0.744000 | 2.642345 
250||0.747000 | 2.662695 || 0.747000 | 2.662695 
251||0.750000 | 2.683111 || 0.750000 | 2.683111 
252||0.753000 | 2.703593 || 0.753000 | 2.703593 
253||0.756000 | 2.724141 || 0.756000 | 2.724141 
254||0.759000 | 2.744754 || 0.759000 | 2.744754 
255||0.762000 | 2.765433 || 0.762000 | 2.765433 
256||0.765000 | 2.786176 || 0.765000 | 2.786176 
257||0.768000 | 2.806985 || 0.768000 | 2.806985 
258||0.771000 | 2.827858 || 0.771000 | 2.827858 
259||0.774000 | 2.848796 || 0.774000 | 2.848796 
260||0.777000 | 2.869798 || 0.777000 | 2.869798 
261||0.780000 | 2.890865 || 0.780000 | 2.890865 
262||0.783000 | 2.911995 || 0.783000 | 2.911995 
263||0.786000 | 2.933189 || 0.786000 | 2.933189 
264||0.789000 | 2.954447 || 0.789000 | 2.954447 
265||0.792000 | 2.975768 || 0.792000 | 2.975768 
266||0.795000 | 2.997152 || 0.795000 | 2.997152 
267||0.798000 | 3.018600 || 0.798000 | 3.018600 
268||0.801000 | 3.040110 || 0.801000 | 3.040110 
269||0.804000 | 3.061683 || 0.804000 | 3.061683 
270||0.807000 | 3.083318 || 0.807000 | 3.083318 
271||0.810000 | 3.105016 || 0.810000 | 3.105016 
272||0.813000 | 3.126775 || 0.813000 | 3.126775 
273||0.816000 | 3.148597 || 0.816000 | 3.148597 
274||0.819000 | 3.170480 || 0.819000 | 3.170480 
275||0.822000 | 3.192424 || 0.822000 | 3.192424 
276||0.825000 | 3.214430 || 0.825000 | 3.214430 
277||0.828000 | 3.236497 || 0.828000 | 3.236497 
278||0.831000 | 3.258625 || 0.831000 | 3.258625 
279||0.834000 | 3.280814 || 0.834000 | 3.280814 
280||0.837000 | 3.303063 || 0.837000 | 3.303063 
281||0.840000 | 3.325372 || 0.840000 | 3.325372 
282||0.843000 | 3.347741 || 0.843000 | 3.347741 
283||0.846000 | 3.370170 || 0.846000 | 3.370170 
284||0.849000 | 3.392659 || 0.849000 | 3.392659 
285||0.852000 | 3.415207 || 0.852000 | 3.415207 
286||0.855000 | 3.437815 || 0.855000 | 3.437815 
287||0.858000 | 3.460482 || 0.858000 | 3.460482 
288||0.861000 | 3.483207 || 0.861000 | 3.483207 
289||0.864000 | 3.505991 || 0.864000 | 3.505991 
290||0.867000 | 3.528834 || 0.867000 | 3.528834 
291||0.870000 | 3.551735 || 0.870000 | 3.551735 
292||0.873000 | 3.574693 || 0.873000 | 3.574693 
293||0.876000 | 3.597710 || 0.876000 | 3.597710 
294||0.879000 | 3.620784 || 0.879000 | 3.620784 
295||0.882000 | 3.643916 || 0.882000 | 3.643916 
296||0.885000 | 3.667105 || 0.885000 | 3.667105 
297||0.888000 | 3.690351 || 0.888000 | 3.690351 
298||0.891000 | 3.713654 || 0.891000 | 3.713654 
299||0.894000 | 3.737013 || 0.894000 | 3.737013 
300||0.897000 | 3.760429 || 0.897000 | 3.760429 
301||0.900000 | 3.783900 || 0.900000 | 3.783900 
302||0.903000 | 3.807428 || 0.903000 | 3.807428 
303||0.906000 | 3.831012 || 0.906000 | 3.831012 
304||0.909000 | 3.854651 || 0.909000 | 3.854651 
305||0.912000 | 3.878345 || 0.912000 | 3.878345 
306||0.915000 | 3.902094 || 0.915000 | 3.902094 
307||0.918000 | 3.925899 || 0.918000 | 3.925899 
308||0.921000 | 3.949757 || 0.921000 | 3.949757 
