OneBody4_E-0.10_plotinterval0.005_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [45.00,0.00,0.00,0.45] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,45.000000,0.000000|0.000111,45.000000,0.005000,0.000000,0.000001,0.011180|0.000111,45.000000,0.005000,0.000000,0.000001,0.011180
  2|0.020010,44.990991,0.900396|0.020121,44.990990,0.905396,0.009010,0.020021,0.011180|0.020121,44.990990,0.905396,0.009010,0.020021,0.011180
  3|0.040020,44.963968,1.800432|0.040131,44.963967,1.805432,0.036033,0.080074,0.011180|0.040131,44.963967,1.805432,0.036033,0.080074,0.011180
  4|0.060030,44.918942,2.699747|0.060141,44.918940,2.704747,0.081060,0.180133,0.011180|0.060141,44.918940,2.704747,0.081060,0.180133,0.011180
  5|0.080041,44.855931,3.597981|0.080151,44.855928,3.602981,0.144072,0.320159,0.011180|0.080151,44.855928,3.602981,0.144072,0.320159,0.011180
  6|0.100051,44.774960,4.494775|0.100161,44.774956,4.499775,0.225044,0.500097,0.011180|0.100161,44.774956,4.499775,0.225044,0.500097,0.011180
  7|0.120061,44.676061,5.389769|0.120171,44.676057,5.394768,0.323943,0.719873,0.011180|0.120171,44.676057,5.394768,0.323943,0.719873,0.011180
  8|0.140071,44.559274,6.282604|0.140181,44.559270,6.287604,0.440730,0.979401,0.011180|0.140181,44.559270,6.287604,0.440730,0.979401,0.011180
  9|0.160081,44.424646,7.172925|0.160191,44.424641,7.177924,0.575359,1.278575,0.011180|0.160191,44.424641,7.177924,0.575359,1.278575,0.011180
 10|0.180091,44.272230,8.060373|0.180201,44.272225,8.065372,0.727775,1.617277,0.011180|0.180201,44.272225,8.065372,0.727775,1.617277,0.011180
 11|0.200101,44.102089,8.944594|0.200210,44.102083,8.949593,0.897917,1.995371,0.011180|0.200210,44.102083,8.949593,0.897917,1.995371,0.011180
 12|0.220112,43.914289,9.825233|0.220220,43.914283,9.830233,1.085717,2.412705,0.011180|0.220220,43.914283,9.830233,1.085717,2.412705,0.011180
 13|0.240122,43.708906,10.701939|0.240230,43.708900,10.706938,1.291100,2.869112,0.011180|0.240230,43.708900,10.706938,1.291100,2.869112,0.011180
 14|0.260132,43.486023,11.574360|0.260239,43.486016,11.579359,1.513984,3.364410,0.011180|0.260239,43.486016,11.579359,1.513984,3.364410,0.011180
 15|0.280142,43.245728,12.442146|0.280249,43.245720,12.447145,1.754280,3.898400,0.011180|0.280249,43.245720,12.447145,1.754280,3.898400,0.011180
