OneBody4_E-0.15_plotinterval0.050_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [30.00,0.00,0.00,0.55] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,30.000000,0.000000|0.001667,29.999958,0.050000,0.000042,0.000139,0.091287|0.001667,29.999958,0.050000,0.000042,0.000139,0.091287
  2|0.020010,29.993994,0.600264|0.021676,29.993869,0.650264,0.006131,0.020436,0.091287|0.021676,29.993869,0.650263,0.006131,0.020436,0.091287
  3|0.040020,29.975979,1.200288|0.041686,29.975771,1.250286,0.024229,0.080765,0.091287|0.041686,29.975771,1.250285,0.024229,0.080765,0.091287
  4|0.060030,29.945961,1.799832|0.061694,29.945670,1.849826,0.054330,0.181100,0.091287|0.061694,29.945670,1.849824,0.054330,0.181100,0.091287
  5|0.080041,29.903954,2.398654|0.081702,29.903579,2.448644,0.096421,0.321402,0.091287|0.081702,29.903579,2.448641,0.096421,0.321402,0.091287
  6|0.100051,29.849973,2.996517|0.101710,29.849515,3.046501,0.150485,0.501615,0.091287|0.101710,29.849515,3.046495,0.150485,0.501615,0.091287
  7|0.120061,29.784040,3.593179|0.121717,29.783500,3.643157,0.216500,0.721666,0.091287|0.121716,29.783500,3.643149,0.216500,0.721667,0.091287
  8|0.140071,29.706183,4.188403|0.141723,29.705560,4.238373,0.294440,0.981468,0.091287|0.141723,29.705560,4.238362,0.294440,0.981468,0.091287
  9|0.160081,29.616431,4.781950|0.161729,29.615725,4.831911,0.384275,1.280916,0.091287|0.161728,29.615725,4.831896,0.384275,1.280916,0.091287
 10|0.180091,29.514820,5.373582|0.181734,29.514033,5.423532,0.485967,1.619890,0.091287|0.181733,29.514033,5.423514,0.485967,1.619890,0.091287
 11|0.200101,29.401393,5.963063|0.201738,29.400524,6.013002,0.599476,1.998255,0.091287|0.201737,29.400523,6.012979,0.599477,1.998256,0.091287
 12|0.220112,29.276193,6.550156|0.221742,29.275242,6.600082,0.724758,2.415859,0.091287|0.221741,29.275242,6.600054,0.724758,2.415860,0.091287
 13|0.240122,29.139271,7.134626|0.241745,29.138240,7.184539,0.861760,2.872535,0.091287|0.241744,29.138239,7.184506,0.861761,2.872536,0.091287
 14|0.260132,28.990682,7.716240|0.261748,28.989570,7.766138,1.010430,3.368100,0.091287|0.261747,28.989570,7.766099,1.010430,3.368102,0.091287
 15|0.280142,28.830485,8.294764|0.281750,28.829293,8.344646,1.170707,3.902356,0.091287|0.281749,28.829293,8.344601,1.170707,3.902358,0.091287
 16|0.300152,28.658745,8.869967|0.301752,28.657474,8.919832,1.342526,4.475088,0.091287|0.301750,28.657473,8.919780,1.342527,4.475091,0.091287
 17|0.320162,28.475530,9.441619|0.321753,28.474180,9.491465,1.525820,5.086068,0.091287|0.321751,28.474179,9.491406,1.525821,5.086071,0.091287
 18|0.340172,28.280914,10.009490|0.341753,28.279485,10.059317,1.720515,5.735051,0.091287|0.341751,28.279484,10.059250,1.720516,5.735055,0.091287
 19|0.360183,28.074975,10.573354|0.361753,28.073467,10.623159,1.926533,6.421776,0.091287|0.361751,28.073466,10.623085,1.926534,6.421781,0.091287
 20|0.380193,27.857794,11.132984|0.381752,27.856209,11.182768,2.143791,7.145970,0.091287|0.381750,27.856207,11.182685,2.143793,7.145975,0.091287
 21|0.400203,27.629459,11.688156|0.401751,27.627798,11.737917,2.372202,7.907341,0.091287|0.401748,27.627796,11.737826,2.372204,7.907348,0.091287
 22|0.420213,27.390062,12.238649|0.421749,27.388324,12.288386,2.611676,8.705586,0.091287|0.421746,27.388322,12.288285,2.611678,8.705594,0.091287
 23|0.440223,27.139697,12.784241|0.441747,27.137885,12.833954,2.862115,9.540384,0.091287|0.441744,27.137882,12.833843,2.862118,9.540393,0.091287
 24|0.460233,26.878467,13.324715|0.461744,26.876579,13.374401,3.123421,10.411402,0.091287|0.461741,26.876576,13.374280,3.123424,10.411412,0.091287
 25|0.480243,26.606474,13.859853|0.481741,26.604513,13.909513,3.395487,11.318290,0.091287|0.481737,26.604510,13.909381,3.395490,11.318302,0.091287
 26|0.500254,26.323828,14.389443|0.501737,26.321794,14.439074,3.678206,12.260686,0.091287|0.501733,26.321790,14.438931,3.678210,12.260699,0.091287
 27|0.520264,26.030643,14.913270|0.521732,26.028537,14.962873,3.971463,13.238211,0.091287|0.521728,26.028532,14.962718,3.971468,13.238226,0.091287
 28|0.540274,25.727035,15.431127|0.541727,25.724857,15.480699,4.275143,14.250476,0.091287|0.541722,25.724852,15.480532,4.275148,14.250492,0.091287
 29|0.560284,25.413126,15.942805|0.561722,25.410878,15.992346,4.589122,15.297074,0.091287|0.561717,25.410873,15.992167,4.589127,15.297091,0.091287
 30|0.580294,25.089042,16.448100|0.581715,25.086724,16.497609,4.913276,16.377586,0.091287|0.581710,25.086718,16.497416,4.913282,16.377605,0.091287
 31|0.600304,24.754912,16.946809|0.601709,24.752526,16.996285,5.247474,17.491580,0.091287|0.601703,24.752520,16.996079,5.247480,17.491601,0.091287
