OneBody4_E-0.05_plotinterval0.100_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [90.00,0.00,0.00,0.32] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,90.000000,0.000000|0.001111,89.999944,0.100000,0.000056,0.000062,0.316228|0.001111,89.999944,0.100000,0.000056,0.000062,0.316228
  2|0.020010,89.981982,1.800793|0.021121,89.981816,1.900792,0.018184,0.020205,0.316228|0.021121,89.981816,1.900792,0.018184,0.020205,0.316228
  3|0.040020,89.927937,3.600865|0.041131,89.927659,3.700860,0.072341,0.080379,0.316228|0.041131,89.927659,3.700860,0.072341,0.080379,0.316228
  4|0.060030,89.837884,5.399495|0.061140,89.837496,5.499485,0.162504,0.180560,0.316228|0.061140,89.837496,5.499484,0.162504,0.180560,0.316228
  5|0.080041,89.711862,7.195963|0.081148,89.711362,7.295946,0.288638,0.320709,0.316228|0.081148,89.711362,7.295945,0.288638,0.320709,0.316228
  6|0.100051,89.549919,8.989550|0.101157,89.549309,9.089524,0.450691,0.500768,0.316228|0.101157,89.549309,9.089522,0.450691,0.500768,0.316228
  7|0.120061,89.352121,10.779537|0.121164,89.351401,10.879501,0.648599,0.720666,0.316228|0.121164,89.351401,10.879497,0.648599,0.720666,0.316228
  8|0.140071,89.118548,12.565209|0.141172,89.117717,12.665159,0.882283,0.980314,0.316228|0.141172,89.117717,12.665154,0.882283,0.980315,0.316228
  9|0.160081,88.849292,14.345849|0.161179,88.848351,14.445784,1.151649,1.279610,0.316228|0.161179,88.848351,14.445778,1.151649,1.279610,0.316228
 10|0.180091,88.544461,16.120746|0.181185,88.543411,16.220664,1.456589,1.618432,0.316228|0.181185,88.543411,16.220655,1.456589,1.618432,0.316228
 11|0.200101,88.204178,17.889188|0.201192,88.203019,17.989087,1.796981,1.996645,0.316228|0.201192,88.203019,17.989076,1.796981,1.996646,0.316228
 12|0.220112,87.828578,19.650467|0.221197,87.827311,19.750345,2.172689,2.414099,0.316228|0.221197,87.827311,19.750332,2.172689,2.414099,0.316228
 13|0.240122,87.417813,21.403878|0.241203,87.416438,21.503733,2.583562,2.870625,0.316228|0.241203,87.416437,21.503718,2.583563,2.870626,0.316228
 14|0.260132,86.972046,23.148719|0.261208,86.970564,23.248550,3.029436,3.366040,0.316228|0.261208,86.970563,23.248532,3.029437,3.366042,0.316228
 15|0.280142,86.491456,24.884292|0.281212,86.489867,24.984096,3.510133,3.900148,0.316228|0.281212,86.489866,24.984075,3.510134,3.900149,0.316228
