OneBody4_E-0.20_plotinterval0.100_ecc0.0_RK4.txt
initial value : [x, y, v_x, v_y] = [22.50,0.00,0.00,0.63] , numerical interval dt = 0.02000 , [M, m] = [ 9, 1]

num|given_position|geodesic|newtonian
num| degree1, x1, y1 | degree2, x2, y2, simple error, relative error, d(rho) | degree2, x2, y2, simple error, relative error, dt
  1|0.000000,22.500000,0.000000|0.004444,22.499778,0.100000,0.000222,0.000988,0.158114|0.004444,22.499778,0.100000,0.000222,0.000988,0.158114
  2|0.020010,22.495496,0.450198|0.024454,22.494829,0.550194,0.005171,0.022982,0.158114|0.024454,22.494829,0.550192,0.005171,0.022982,0.158114
  3|0.040020,22.481984,0.900216|0.044462,22.480873,1.000202,0.019127,0.085007,0.158114|0.044462,22.480873,1.000196,0.019127,0.085007,0.158114
  4|0.060030,22.459471,1.349874|0.064469,22.457916,1.449843,0.042084,0.187038,0.158114|0.064468,22.457917,1.449830,0.042083,0.187037,0.158114
  5|0.080041,22.427965,1.798991|0.084474,22.425968,1.898937,0.074032,0.329033,0.158114|0.084473,22.425968,1.898915,0.074032,0.329032,0.158114
  6|0.100051,22.387480,2.247387|0.104479,22.385040,2.347306,0.114960,0.510936,0.158114|0.104477,22.385040,2.347271,0.114960,0.510935,0.158114
  7|0.120061,22.338030,2.694884|0.124482,22.335149,2.794768,0.164851,0.732673,0.158114|0.124480,22.335149,2.794718,0.164851,0.732672,0.158114
  8|0.140071,22.279637,3.141302|0.144484,22.276315,3.241145,0.223685,0.994156,0.158114|0.144481,22.276315,3.241078,0.223685,0.994155,0.158114
  9|0.160081,22.212323,3.586462|0.164484,22.208562,3.686259,0.291438,1.295281,0.158114|0.164480,22.208562,3.686170,0.291438,1.295280,0.158114
 10|0.180091,22.136115,4.030186|0.184483,22.131917,4.129930,0.368083,1.635926,0.158114|0.184478,22.131917,4.129818,0.368083,1.635926,0.158114
 11|0.200101,22.051044,4.472297|0.204481,22.046410,4.571982,0.453590,2.015955,0.158114|0.204475,22.046410,4.571844,0.453590,2.015956,0.158114
 12|0.220112,21.957145,4.912617|0.224478,21.952076,5.012238,0.547924,2.435216,0.158114|0.224471,21.952076,5.012070,0.547924,2.435218,0.158114
 13|0.240122,21.854453,5.350970|0.244474,21.848953,5.450520,0.651047,2.893541,0.158114|0.244465,21.848952,5.450321,0.651048,2.893545,0.158114
 14|0.260132,21.743012,5.787180|0.264468,21.737082,5.886654,0.762918,3.390747,0.158114|0.264458,21.737081,5.886420,0.762919,3.390752,0.158114
 15|0.280142,21.622864,6.221073|0.284461,21.616507,6.320466,0.883493,3.926634,0.158114|0.284450,21.616506,6.320194,0.883494,3.926642,0.158114
 16|0.300152,21.494059,6.652475|0.304453,21.487278,6.751781,1.012722,4.500987,0.158114|0.304440,21.487275,6.751468,1.012725,4.500998,0.158114
 17|0.320162,21.356648,7.081214|0.324444,21.349445,7.180426,1.150555,5.113578,0.158114|0.324429,21.349442,7.180071,1.150558,5.113592,0.158114
 18|0.340172,21.210686,7.507118|0.344433,21.203064,7.606231,1.296936,5.764160,0.158114|0.344416,21.203060,7.605829,1.296940,5.764178,0.158114
 19|0.360183,21.056231,7.930015|0.364421,21.048194,8.029024,1.451806,6.452473,0.158114|0.364403,21.048189,8.028574,1.451811,6.452495,0.158114
 20|0.380193,20.893345,8.349738|0.384408,20.884896,8.448637,1.615104,7.178241,0.158114|0.384388,20.884890,8.448135,1.615110,7.178269,0.158114
 21|0.400203,20.722094,8.766117|0.404394,20.713236,8.864901,1.786764,7.941174,0.158114|0.404372,20.713228,8.864344,1.786772,7.941208,0.158114
 22|0.420213,20.542546,9.178987|0.424379,20.533283,9.277651,1.966717,8.740966,0.158114|0.424354,20.533274,9.277036,1.966726,8.741006,0.158114
 23|0.440223,20.354773,9.588181|0.444362,20.345108,9.686720,2.154892,9.577298,0.158114|0.444335,20.345098,9.686044,2.154902,9.577344,0.158114
 24|0.460233,20.158850,9.993536|0.464344,20.148787,10.091944,2.351213,10.449834,0.158114|0.464315,20.148775,10.091206,2.351225,10.449887,0.158114
 25|0.480243,19.954856,10.394890|0.484325,19.944400,10.493163,2.555600,11.358224,0.158114|0.484294,19.944386,10.492358,2.555614,11.358286,0.158114
 26|0.500254,19.742871,10.792082|0.504305,19.732026,10.890214,2.767974,12.302106,0.158114|0.504271,19.732010,10.889340,2.767990,12.302176,0.158114
 27|0.520264,19.522982,11.184953|0.524284,19.511752,11.282940,2.988248,13.281101,0.158114|0.524248,19.511735,11.281993,2.988265,13.281180,0.158114
 28|0.540274,19.295276,11.573345|0.544261,19.283666,11.671182,3.216334,14.294817,0.158114|0.544223,19.283646,11.670161,3.216354,14.294905,0.158114
 29|0.560284,19.059844,11.957104|0.564237,19.047859,12.054786,3.452141,15.342849,0.158114|0.564197,19.047837,12.053686,3.452163,15.342947,0.158114
 30|0.580294,18.816781,12.336075|0.584213,18.804425,12.433598,3.695575,16.424777,0.158114|0.584169,18.804401,12.432417,3.695599,16.424885,0.158114
 31|0.600304,18.566184,12.710106|0.604187,18.553462,12.807467,3.946538,17.540168,0.158114|0.604141,18.553436,12.806201,3.946564,17.540286,0.158114
 32|0.620314,18.308153,13.079049|0.624160,18.295071,13.176242,4.204929,18.688575,0.158114|0.624112,18.295042,13.174889,4.204958,18.688704,0.158114
 33|0.640325,18.042792,13.442755|0.644131,18.029354,13.539776,4.470646,19.869539,0.158114|0.644081,18.029322,13.538333,4.470678,19.869678,0.158114
 34|0.660335,17.770206,13.801079|0.664102,17.756418,13.897923,4.743582,21.082586,0.158114|0.664049,17.756384,13.896387,4.743616,21.082736,0.158114
 35|0.680345,17.490505,14.153876|0.684071,17.476373,14.250541,5.023627,22.327231,0.158114|0.684016,17.476337,14.248909,5.023663,22.327393,0.158114
 36|0.700355,17.203802,14.501007|0.704040,17.189330,14.597488,5.310670,23.602976,0.158114|0.703982,17.189292,14.595757,5.310708,23.603149,0.158114
 37|0.720365,16.910210,14.842332|0.724007,16.895405,14.938626,5.604595,24.909311,0.158114|0.723948,16.895364,14.936791,5.604636,24.909494,0.158114
 38|0.740375,16.609847,15.177713|0.743974,16.594715,15.273817,5.905285,26.245712,0.158114|0.743912,16.594671,15.271877,5.905329,26.245905,0.158114
 39|0.760385,16.302834,15.507018|0.763939,16.287380,15.602927,6.212620,27.611643,0.158114|0.763875,16.287334,15.600879,6.212666,27.611847,0.158114
 40|0.780396,15.989293,15.830114|0.783903,15.973524,15.925825,6.526476,29.006560,0.158114|0.783837,15.973476,15.923665,6.526524,29.006773,0.158114
 41|0.800406,15.669350,16.146872|0.803866,15.653272,16.242382,6.846728,30.429902,0.158114|0.803798,15.653222,16.240107,6.846778,30.430125,0.158114
 42|0.820416,15.343134,16.457164|0.823828,15.326752,16.552471,7.173248,31.881101,0.158114|0.823758,15.326700,16.550078,7.173300,31.881332,0.158114
 43|0.840426,15.010774,16.760867|0.843789,14.994096,16.855967,7.505904,33.359575,0.158114|0.843717,14.994042,16.853453,7.505958,33.359814,0.158114
 44|0.860436,14.672404,17.057859|0.863749,14.655435,17.152750,7.844565,34.864732,0.158114|0.863675,14.655380,17.150112,7.844620,34.864978,0.158114
 45|0.880446,14.328159,17.348022|0.883708,14.310907,17.442700,8.189093,36.395971,0.158114|0.883632,14.310850,17.439935,8.189150,36.396222,0.158114
 46|0.900456,13.978177,17.631238|0.903666,13.960648,17.725702,8.539352,37.952678,0.158114|0.903589,13.960590,17.722806,8.539410,37.952933,0.158114
 47|0.920467,13.622599,17.907395|0.923623,13.604798,18.001641,8.895202,39.534229,0.158114|0.923544,13.604740,17.998613,8.895260,39.534487,0.158114
 48|0.940477,13.261566,18.176382|0.943579,13.243502,18.270409,9.256498,41.139993,0.158114|0.943499,13.243443,18.267244,9.256557,41.140252,0.158114
 49|0.960487,12.895223,18.438091|0.963535,12.876902,18.531897,9.623098,42.769326,0.158114|0.963453,12.876843,18.528592,9.623157,42.769585,0.158114
 50|0.980497,12.523717,18.692418|0.983489,12.505146,18.786000,9.994854,44.421575,0.158114|0.983406,12.505088,18.782553,9.994912,44.421832,0.158114
 51|1.000507,12.147197,18.939261|1.003442,12.128382,19.032617,10.371618,46.096080,0.158114|1.003359,12.128325,19.029025,10.371675,46.096332,0.158114
 52|1.020517,11.765813,19.178520|1.023395,11.746762,19.271650,10.753238,47.792171,0.158114|1.023310,11.746706,19.267908,10.753294,47.792416,0.158114
 53|1.040528,11.379718,19.410101|1.043346,11.360437,19.503001,11.139563,49.509168,0.158114|1.043261,11.360384,19.499108,11.139616,49.509404,0.158114
 54|1.060538,10.989067,19.633909|1.063297,10.969564,19.726580,11.530436,51.246384,0.158114|1.063212,10.969513,19.722532,11.530487,51.246608,0.158114
 55|1.080548,10.594016,19.849857|1.083247,10.574297,19.942296,11.925703,53.003123,0.158114|1.083161,10.574250,19.938091,11.925750,53.003333,0.158114
 56|1.100558,10.194723,20.057857|1.103196,10.174796,20.150063,12.325204,54.778684,0.158114|1.103110,10.174753,20.145697,12.325247,54.778875,0.158114
 57|1.120568,9.791349,20.257825|1.123144,9.771220,20.349798,12.728780,56.572354,0.158114|1.123059,9.771182,20.345269,12.728818,56.572524,0.158114
 58|1.140578,9.384053,20.449683|1.143091,9.363731,20.541422,13.136269,58.383416,0.158114|1.143006,9.363699,20.536726,13.136301,58.383562,0.158114
 59|1.160588,8.973001,20.633353|1.163038,8.952492,20.724856,13.547508,60.211145,0.158114|1.162953,8.952466,20.719991,13.547534,60.211263,0.158114
 60|1.180599,8.558356,20.808761|1.182984,8.537668,20.900028,13.962332,62.054809,0.158114|1.182900,8.537649,20.894991,13.962351,62.054895,0.158114
 61|1.200609,8.140284,20.975838|1.202929,8.119424,21.066869,14.380576,63.913671,0.158114|1.202846,8.119413,21.061656,14.380587,63.913721,0.158114
 62|1.220619,7.718953,21.134516|1.222873,7.697928,21.225310,14.802072,65.786987,0.158114|1.222792,7.697926,21.219919,14.802074,65.786996,0.158114
 63|1.240629,7.294531,21.284732|1.242817,7.273349,21.375289,15.226651,67.674006,0.158114|1.242737,7.273357,21.369718,15.226643,67.673970,0.158114
